schema,pos rule,pos keywords,pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,
标题,正则匹配,(厂房|商铺|自建房|写字楼|公寓|仓库|住宅|房屋)(租赁|出租)(合同|协议),"虽然签订了房屋租赁合同，但也需注意租赁合同无效的情形。房屋租赁合同无效的情形有：
1、出租房屋为出租人未取得建设工程规划许可证或者未按照建设工程规划许可证的规定建设的房屋，包括未取得建设用地规划许可证的建筑、擅自改变使用性质的建筑、擅自将临时建筑建设成永久性的建筑等
2、以办理登记备案手续为生效要件的租赁合同，当事人未按约定办理登记备案手续的，租赁合同无效注意这里主要是以办理登记备案手续为生效要件的前提下，否则，出租人以未办理登记备案手续为由请求租赁合同无效的，不能获得支持
3、租赁房屋未经整体验收合格的，租赁合同无效，注意这里的是指整体，而非局部或单项工程的验收，以保证房屋存在安全隐患
",未识别,,合同标题缺失或不完整，建议写明,中,"《民法典》第七百零三条 租赁合同是出租人将租赁物交付承租人使用、收益,承租人支付租金的合同。  
《城市房地产管理法》第五十四条 房屋租赁，出租人和承租人应当签订书面租赁合同，约定租赁期限、租赁用途、租赁价格、修缮责任等条款，以及双方的其他权利和义务，并向房产管理部门登记备案。",
签订地,识别,,“合同签订地”是法定争议解决管辖方式之一，亦涉及合同签订背景。,,,,低,"《民法典》第四百九十二条　承诺生效的地点为合同成立的地点。
　　采用数据电文形式订立合同的，收件人的主营业地为合同成立的地点；没有主营业地的，其住所地为合同成立的地点。当事人另有约定的，按照其约定。
第四百九十三条　当事人采用合同书形式订立合同的，最后签名、盖章或者按指印的地点为合同成立的地点，但是当事人另有约定的除外。",
甲方,识别,,,未识别,,缺少双方基本信息-甲方,高,,
甲方地址,识别,,,未识别,,缺少双方基本信息-甲方地址,中,,
甲方联系方式,识别,,,未识别,,缺少双方基本信息-甲方联系方式,高,,
乙方,识别,,,未识别,,缺少双方基本信息-乙方,高,,
乙方地址,识别,,,未识别,,缺少双方基本信息-乙方地址,中,,
乙方联系方式,识别,,,未识别,,缺少双方基本信息-乙方联系方式,高,,
鉴于条款,识别,,,未匹配，不作审核,,,低,,应审查鉴于条款中所包含的法律法规名称是否正确
房屋基本信息,识别,房屋基本情况|房屋基本信息|建筑面积|坐落于|小区|街道,房屋基本情况中需罗列标的房屋的详细地址，结构，建筑面积，并附《房屋交割清单》以反映房屋装修及设施状况，同时可将其作为交房和收房时的验收依据。另说明权属状况，有无权利瑕疵。应将合同中记载的房屋信息以及所附的《房屋交割清单》与实际房屋情况仔细核对，避免后续发生纠纷。,未识别,,"房屋基本信息缺失
房屋基本情况中需罗列标的房屋的详细地址，结构，建筑面积，并附《房屋交割清单》以反映房屋装修及设施状况，同时可将其作为交房和收房时的验收依据。另说明权属状况，有无权利瑕疵。应将合同中记载的房屋信息以及所附的《房屋交割清单》与实际房屋情况仔细核对，避免后续发生纠纷。",高,,
房屋权属,识别,,房屋的权利人或合法使用人还需提供房屋所有权证书或其他能够证明权利人可对外出租该房屋的合法性文件以验证合同标的房屋的权属情况。另外，房屋所有权证上的所有权人名称应与合同出租方名称一致（所有权人书面同意转租或授权其他主体签署合同的除外）；房产证上所载房屋用途与合同上约定用途一致。合同应当明确房屋所处位置，且该描述应当与房屋产权证书所载一致。,未识别,,"缺少房屋权属条款
在房屋租赁合同中应写明房屋的所有人或合法使用人，并提供房屋所有权证书或其他能够证明权利人可对外出租该房屋的合法性文件。",,,
租赁用途,识别,,租赁房屋用途一般分为住宅、工商业、办公、仓库等，由租赁房屋的土地使用权用途决定。不同用途类型的房屋租赁会对应一些不同的权利义务内容，双方都应注意并遵守。租赁用途条款是指在房屋租赁合同中规定的房屋的使用性质，租赁用途一旦定明，则承租人不得擅自改用用途。而因为不同的租赁用途导致了对房屋的寿命影响不同，因此会对租金、租期，权利义务、违约责任等都产生影响。,未识别,,"缺少租赁用途条款
租赁用途不同，在合同中对应体现出来的内容也会有所不同，建议对房屋约定明确的租赁用途，并根据租赁用途起草",高,"《民法典》第七百零八条 【出租人交付租赁物义务和适租义务】出租人应当按照约定将租赁物交付承租人,并在租赁期限内保持租赁物符合约定的用途。",
租赁期限,识别,,在租赁期限内，承租人合法享有对租赁房屋的使用权。,未识别,,"缺少租赁期限
租赁合同期限需明确，有装修免租期的应标注装修免租期。若属于不定期租赁的合同，双方当事人均可随时解除，同时需给对方预留一定的准备时间",高,"《民法典》第七百二十一条 【租金支付期限】承租人应当按照约定的期限支付租金。对支付租金的期限没有约定或者约定不明确,依据本法第五百一十条的规定仍不能确定,租赁期限不满一年的,应当在租赁期限届满时支付;租赁期限一年以上的,应当在每届满一年时支付,剩余期限不满一年的,应当在租赁期限届满时支付。",
租赁起止时间,识别,,租赁起止时间应与租赁期限相符合,未识别,,"缺少租赁起始时间
应在约定租赁期限的同时写明租赁起止时间",,,
租金,识别,,在房屋租赁合同中应写明租金的计算标准及支付方式，租金支付期限，分期支付的应该写明每期租金具体金额及支付方式，押金并写明是否需要开票，是否含税,未识别,,"缺少租赁条款
在房屋租赁合同中应写明租金以及押金的计算标准及支付方式，租金支付期限，分期支付的应该写明每期租金具体金额及支付方式，并写明是否需要开票，是否含税",高,租金|年租金|月租金,
押金,识别,,如约定租赁保证金（押金）的，还需写明押金计算标准、返还方式、返还时间。,未识别，不作审核,,,,,
支付方式,识别,,采用银行转账的，指定收款信息应核实准确，确保信息有效。若采用微信或支付宝转账的形式支付租金的，应在转账时进行备注。现金支付的，应开具收据，签字后留存。,未识别,,"支付方式条款缺失
应在合同中写明租金及押金的支付方式",,,
转租,识别,,转租转让条款涉及到房屋使用权人的变更，承租人转租房屋需经过出租人同意，承租人如对房屋进行转租需要符合合同双方约定，在房屋转卖时，可以行使法定的优先购买权。,未识别,,"缺少转租条款
双方可对转租作出详细约定。",高,"《民法典》第七百一十六条 【承租人对租赁物转租】承租人经出租人同意,可以将租赁物转租给第三人。承租人转租的,承租人与出租人之间的租赁合同继续有效;第三人造成租赁物损失的,承租人应当赔偿损失。
承租人未经出租人同意转租的,出租人可以解除合同。
第七百一十七条 【超过承租人剩余租赁期限的转租期间效力】承租人经出租人同意将租赁物转租给第三人,转租期限超过承租人剩余租赁期限的,超过部分的约定对出租人不具有法律约束力,但是出租人与承租人另有约定的除外。
第七百一十八条 【推定出租人同意转租】出租人知道或者应当知道承租人转租,但是在六个月内未提出异议的,视为出租人同意转租。                                       第七百二十六条 【房屋承租人优先购买权】出租人出卖租赁房屋的,应当在出卖之前的合理期限内通知承租人,承租人享有以同等条件优先购买的权利;但是,房屋按份共有人行使优先购买权或者出租人将房屋出卖给近亲属的除外。
出租人履行通知义务后,承租人在十五日内未明确表示购买的,视为承租人放弃优先购买权。",
租期内其他费用,关键词匹配,(物业|水|电|水电|抄表|宽带).*费,出租人应了解租赁期限内其他费用的收费标准和起算点，以免后续产生纠纷。,,,"缺少租期内其他费用条款
租期内其他费用是指在租赁期限内包括但不限于物业管理费、能耗费、水费、电费、电视费、宽带费等的因房屋使用而产生的费用，应载明：1.相关费用的费用计算点（抄表）和租赁房屋所在区域的计算标准，如物业费2.上述费用的支付主体（由承租方缴纳还是出租方代缴后承租方向出租方支付）",高,无,
房屋修缮,正则匹配,维修|修缮,租期内因房屋修缮和因某一方或其他原因所产生的房屋及设施损坏的修缮费用，写明具体的修缮责任主体和义务。,,,"未规定房屋修缮责任条款
租期内若发生房屋及设施损坏，由哪一方进行维修，可在合同中约定。",高,"《民法典》第七百一十二条 【出租人维修义务】出租人应当履行租赁物的维修义务,但是当事人另有约定的除外。
  第七百一十三条 【不履行维修义务的法律后果】承租人在租赁物需要维修时可以请求出租人在合理期限内维修。出租人未履行维修义务的,承租人可以自行维修,维修费用由出租人负担。因维修租赁物影响承租人使用的,应当相应减少租金或者延长租期。
因承租人的过错致使租赁物需要维修的,出租人不承担前款规定的维修义务。",
双方权利义务,关键词匹配,.*权利义务,"通常在房屋租赁合同中，出租人有权：1）向承租人收取租金；2）在租赁期内对承租人合法且按照约定使用房屋。同时需承担：1）合理期限内交付房屋，并达到合同约定的使用条件的义务；2）保证出租房屋符合约定用途的义务；3）按照合同规定的修缮范围维修房产的义务；4）保证承租人不因第三人主张权利而影响使用的义务。
承租人有权：1）在合同期限按约定使用房屋，并取得合法收益；2）按期缴纳房屋租金、保证金",未匹配,,"双方权利义务缺少
可在合同中设置专门的权利义务条款来明确双方的权利义务",高,"《民法典》第七百零八条 【出租人交付租赁物义务和适租义务】出租人应当按照约定将租赁物交付承租人,并在租赁期限内保持。                                                     
《民法典》第七百零九条 【承租人按约定使用租赁物的义务】承租人应当按照约定的方法使用租赁物。对租赁物的使用方法没有约定或者约定不明确,依据本法第五百一十条的规定仍不能确定的,应当根据租赁物的性质使用。                                              第七百一十条 【承租人按约定使用租赁物的免责义务】承租人按照约定的方法或者根据租赁物的性质使用租赁物,致使租赁物受到损耗的,不承担赔偿责任。                      第七百一十四条 【承租人妥善保管租赁物义务】承租人应当妥善保管租赁物,因保管不善造成租赁物毁损、灭失的,应当承担赔偿责任。",
违约责任,识别,违约|违约解除|逾期|违约金|赔偿损失|诉讼费|律师费|保全费,违约责任应该做到具体和量化，双方应明确知悉违约责任条款当中规定的违约情形，并且要避免双方对条款的理解偏差,未匹配,,"缺少违约责任条款
违约责任的设置应该做到具体和量化，双方应明确知悉违约责任条款当中规定的违约情形，并且要避免双方对条款的理解偏差",高,"《民法典》第五百七十七条 【违约责任】当事人一方不履行合同义务或者履行合同义务不符合约定的,应当承担继续履行、采取补救措施或者赔偿损失等违约责任。               第五百九十二条 【双方违约和与有过失】当事人都违反合同的,应当各自承担相应的责任。
当事人一方违约造成对方损失,对方对损失的发生有过错的,可以减少相应的损失赔偿额。",
争议解决,识别,争议.*(解决|仲裁|起诉|诉讼),房屋租赁合同纠纷为不动产专属管辖，即应由不动产所在地的法院来管辖。,未识别,,房屋租赁合同纠纷为专属管辖，即应由不动产所在地的法院来管辖。,中,,
生效条款,识别,,合同双方签字盖章后生效，但租期的约定不一定与生效日期相同,未识别,,合同缺少生效条款，建议添加,中,"《民法典》第五百零二条 【合同生效时间】依法成立的合同,自成立时生效,但是法律另有规定或者当事人另有约定的除外。",
未尽事项,识别,,合同无法详尽一切内容，对合同中未写明的其他未尽事宜，可签订补充协议进行约定，或双方协商解决，或在合同中按现行法律、法规和规章的规定执行。,未识别，不作审核,,,低,,
签订日期,识别,,"当双方约定以盖章或授权代表签字后生效时，应写明盖章或签字的时间。
采用书面形式订立合同的，自当事人均签名、盖章或者按指印时合同成立，因此合同签订时间关系合同成立、生效时间，需写明。",未识别，不作审核,,,高,,
合同附件,识别,,合同附件条款一般是对合同正文中某些条款的详细解释或补充条款，十分重要。合同附件条款约定不明，可能导致合同双方因合同某些条款约定不详细而产生分歧。在租赁合同中，常见的附件有《房屋交割清单》、房屋产权证明。针对《房屋交割清单》或类似性质的文件，出租人在出租房屋时需在清单里仔细记录房屋内设施情况，在收房时以此作为检验房屋质量的标准之一，承租人在承租房屋时应仔细核对交割清单和现有屋内设施情况是否相符。,未识别，不作审核,,,高,,
