schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
标题,识别,,,,未识别,,合同标题缺失，建议写明“采购合同”合同类型字样。合同标题若与合同性质不一致的，合同性质会以合同反映的真实法律关系为准。,低,【《中华人民共和国民法典》第五百九十五条】买卖合同是出卖人转移标的物的所有权于买受人，买受人支付价款的合同。,应在合同标题中准确反映合同性质，便于双方理解条款。,,合同标题条款审核,合同标题审核
签订地,识别,,,,未识别，不作审核,,,低,"【《中华人民共和国民法典》第四百九十二条】承诺生效的地点为合同成立的地点。
采用数据电文形式订立合同的，收件人的主营业地为合同成立的地点；没有主营业地的，其住所地为合同成立的地点。当事人另有约定的，按照其约定。|【《中华人民共和国民法典》第四百九十三条】当事人采用合同书形式订立合同的，最后签名、盖章或者按指印的地点为合同成立的地点，但是当事人另有约定的除外。",,,合同签署地条款审核,合同签订信息审核
甲方,公司名称校验,卖方|供货方,,,未识别,,甲方姓名或名称缺失，建议补充完整。,中,,甲方姓名或名称应当准确无误，同时要确保与签章内容相一致。,甲方名称校验错误，建议核实。,合同主体名称审核,合同主体审核
甲方身份证号/统一社会信用代码,身份证号校验|统一社会信用代码校验,,,,未识别,,"甲方身份证号/统一社会信用代码缺失，建议补充完整。
便于合同签订方据此审核对方企业的资信状况。",中,,,甲方身份证号/统一社会信用代码校验错误，建议核实。,合同主体规范性审核,合同主体审核
甲方法定代表人/授权代表,识别,,,,未识别，不作审核,,,低,,,,合同主体代表审核,合同主体审核
甲方地址,识别,,,,未识别,,甲方地址缺失，建议补充完整。,中,,,,通知与送达有效性审核,通知与送达审核
甲方联系方式,联系方式校验,,,,未识别,,甲方联系方式缺失，建议补充完整。,中,,,甲方联系方式校验错误，建议核实。,通知与送达有效性审核,通知与送达审核
乙方,公司名称校验,买方|需货方,,,未识别,,乙方姓名或名称缺失，建议补充完整。,中,,乙方姓名或名称应当准确无误，同时要确保与签章内容相一致。,乙方名称校验错误，建议核实。,合同主体名称审核,合同主体审核
乙方身份证号/统一社会信用代码,身份证号校验|统一社会信用代码校验,,,,未识别,,"乙方身份证号/统一社会信用代码缺失，建议补充完整。
便于合同签订方据此审核对方企业的资信状况。",中,,,乙方身份证号/统一社会信用代码校验错误，建议核实。,合同主体规范性审核,合同主体审核
乙方法定代表人/授权代表,识别,,,,未识别，不作审核,,,低,,,,合同主体代表审核,合同主体审核
乙方联系方式,联系方式校验,,,,未识别,,乙方联系方式缺失，建议补充完整。,中,,,乙方联系方式校验错误，建议核实。,通知与送达有效性审核,通知与送达审核
乙方地址,识别,,,,未识别,,乙方地址缺失，建议补充完整。,中,,,,通知与送达有效性审核,通知与送达审核
鉴于条款,识别,,,,未识别，不作审核,,,低,,,,合同背景条款审核,合同背景审核
产品名称,产品名称审核,名称|商品名称|烟草|农药|化肥|酒|枪支|弹药|石油,,,未识别,,"产品名称条款缺失或约定不明确，建议补充完整。
产品名称应规范化、精细准确，双方应对产品的规格、品牌、型号等信息明确约定，忌用缩写、代称、口头语，需符合交易习惯。",高,"【《中华人民共和国民法典》第五百九十七条】因出卖人未取得处分权致使标的物所有权不能转移的，买受人可以解除合同并请求出卖人承担违约责任。
法律、行政法规禁止或者限制转让的标的物，依照其规定。",采购商品的名称为采购合同的一般性条款，应明确约定。采购合同标的物不能是法律禁止或者限制流通的标的物。限制流通的商品，双方需要审查商品的经营许可证，未取得的，合同可能会被认定为无效；禁止流通的，私自流通不但会被认定为合同无效，可能被追究相关刑事责任。,采购合同标的物不能是法律禁止或者限制流通的标的物。限制流通的商品，双方需要审查商品的经营许可证,标的物可流通性、明确性审核,合同标的物审核
产品数量（重量）,识别,".{0,4}箱|.{0,4}件|.{0,4}打|.{0,4}扎|.{0,4}车|.{0,4}框|.{0,4}个|.{0,4}枚|.{0,4}瓶",,,未识别,,"产品数量条款缺失或约定不明确，建议补充完整。
双方应对计量方法做出具体解释，含糊不清的计量概念可能产生分歧。",高,【《中华人民共和国民法典》第五百九十六条】买卖合同的内容一般包括标的物的名称、数量、质量、价款、履行期限、履行地点和方式、包装方式、检验标准和方法、结算方式、合同使用的文字及其效力等条款。,采购商品的数量为买卖合同的一般性条款，应明确约定。,,标的物数量审查,合同标的物审核
产品质量,识别,产品质量|技术指标|合格标准,,,未识别,,"产品质量条款缺失或约定不明确，建议补充完整。
产品质量在货物买卖类合同中非常重要，双方应明确约定买卖标的物质量交付标准，选定一个具体的质量标准来执行，不可出现模糊化。如未约定质量条款，对于卖方来讲，买方可能会以不符合其质量标准为由拒绝签收或拒绝付款、少付款。",高,【《中华人民共和国民法典》第六百一十五条】出卖人应当按照约定的质量要求交付标的物。出卖人提供有关标的物质量说明的，交付的标的物应当符合该说明的质量要求。|【《中华人民共和国民法典》第六百一十六条】当事人对标的物的质量要求没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，适用本法第五百一十一条第一项的规定。|【《中华人民共和国民法典》第六百一十七条】出卖人交付的标的物不符合质量要求的，买受人可以依据本法第五百八十二条至第五百八十四条的规定请求承担违约责任。,产品质量关系采购商品的交付及验收标准，应明确约定。,,标的物质量要求审核,合同质量条款审核
产品单价,识别,,,,未识别,,"产品价格条款缺失或约定不明确，建议补充完整。
在确定产品价格时需注意:
1、价格是否为含税价及税率;
2、产品单价、总价款的计算方式;
3、准确的款项支付时间（包括分期付款的和达到何种付款条件）;
4、金额需注明大小写、币种等，以防被篡改。",高,【《中华人民共和国民法典》第五百九十六条】买卖合同的内容一般包括标的物的名称、数量、质量、价款、履行期限、履行地点和方式、包装方式、检验标准和方法、结算方式、合同使用的文字及其效力等条款。,采购商品的价格为买采购合同的一般性条款，采购双方应明确约定买卖标的物的单价、总价、价款支付条件以及支付时间等。,,标的物价款审核,合同标的物审核
产品总价,金额内部相等,总金额|总价,,,未识别,,合同总价条款缺失或约定不明确，建议补充完整。,高,,产品总价为采购合同的一般性条款，买卖双方应明确约定。产品总价应以汉字大写和阿拉伯数字小写表达，并应标注币种，以防被篡改。,金额的大小写校验错误，建议核实。,标的物总价审核,合同标的物审核
交货时间,识别,交货期限,在磋商交货时间条款时，卖方应当结合自身实际。在履行过程中应当按照约定的时间交付标的物。约定期限的，应当在期限内交付，约定交付期限的，卖方可以在该交付期限内的任何时间交付，一旦逾期，就可能面临违约责任。卖方应当按照约定的时间交付标的物。,买方应按照合同约定的交货时间按时收货，如逾期收货造成损失，此时卖方已经履行了交货相关义务，损失由买方承担。,未识别,,"交付时间条款缺失或约定不明确，建议补充完整。
出卖人应当按照约定的时间交付货物，当事人没有约定标的物的交付期限或者约定不明确的，可以协议补充；不能达成补充协议的，按照合同相关条款或者交易习惯确定。",高,【《中华人民共和国民法典》第六百零一条】出卖人应当按照约定的时间交付标的物。约定交付期限的，出卖人可以在该交付期限内的任何时间交付。|【《中华人民共和国民法典》第六百零二条】当事人没有约定标的物的交付期限或者约定不明确的，适用本法第五百一十条、第五百一十一条第四项的规定。,交货时间关系买卖双方在合同履行过程中货物的交付时间，应明确约定。,,交付期限审核,合同履行条款审核
交货地点,识别,".{0,4}省.{0,4}市.{0,4}（区|县）|交货地|送货地址|收货地址",卖方应当按照约定的地点交付标的物。,买方应当及时在交货地点接受货物。,未识别,,"交货地点条款缺失或约定不明确，建议补充完整。
采购双方应当按照约定的地点交付货物，当事人没有约定标的物的交付期限或者约定不明确的，可以协议补充；不能达成补充协议的，按照合同相关条款或者交易习惯确定。履行地点不明确，给付货币的，在接受货币一方所在地履行；交付不动产的，在不动产所在地履行；其他标的，在履行义务一方所在地履行。",高,"【《中华人民共和国民法典》第六百零三条】出卖人应当按照约定的地点交付标的物。
当事人没有约定交付地点或者约定不明确，依据本法第五百一十条的规定仍不能确定的，适用下列规定:
(一)标的物需要运输的，出卖人应当将标的物交付给第一承运人以运交给买受人;
(二)标的物不需要运输，出卖人和买受人订立合同时知道标的物在某一地点的，出卖人应当在该地点交付标的物;不知道标的物在某一地点的，应当在出卖人订立合同时的营业地交付标的物。",交付地点的确定，关系到货物毁损、灭失风险的移转，应做出明确约定。,,交付地点审核,合同履行条款审核
交货方式,识别,交货方式|履行方式|交付方式,,,未识别,,"交付方式条款缺失或约定不明确，建议补充完整。
卖方应当按照约定或者交易习惯向买方交付标的物或者交付提取标的物的单证，并转移标的物所有权的义务。",高,,交付方式的约定关系到采购合同标的的履行，合同双方应当约定合理、明确的交付方式。,,交付方式审核,合同履行条款审核
包装方式,识别,包装规格|产品包装|包装方式,卖方应当按照约定的包装方式交付标的物。作为卖方应与买方沟通好所需的包装方式，包装费用，以防买方因包装不符合要求为由拒绝付款。,包装与质量和验收息息相关作为买方需要要求卖方写清其包装标准，具体包括包装材料，包装物的供应与回收。,未识别,,"包装方式条款缺失或约定不明确，建议补充完整。
卖方未尽到包装义务而导致货物毁损的，需承担违约责任或相应的赔偿责任。对包装方式没有约定或者约定不明确，应当按照通用方式包装；没有通用方式的，应采取资源节约、生态保护的方式包装。",高,【《中华人民共和国民法典》第六百一十九条】出卖人应当按照约定的包装方式交付标的物。对包装方式没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，应当按照通用的方式包装；没有通用方式的，应当采取足以保护标的物且有利于节约资源、保护生态环境的包装方式。,包装方式以及包装标准关系货物因包装不善而导致的责任承担主体，采购双方应当明确约定，比如包装的具体要求、包装是否回收等。,,标的物的包装方式审核,合同履行条款审核
其他费用,识别,包装费|运输费|运费|保管费|保险费|安装费,,,未识别,,其他费用条款缺失或约定不明确，建议补充完整。,中,,其他费用关系到合同总价，如存在其他费用应明确约定，比如运输费、包装费、保管费、安装费，以防争议发生,,其他费用审核,合同履行条款审核
所有权保留,识别,,所有权保留条款可以确保出卖人对于买受人支付价款债权的实现，维护出卖人的利益，使其与他人交易的风险降至最低的程度。,,未识别,,"所有权保留条款缺失或约定不明确，建议补充完整。
依所有权保留制度，当买受人未能按约定的期限和金额支付价款时，出卖人有权按约定取回已经交付给买受人的标的物。",中,"【《中华人民共和国民法典》第六百四十二条】当事人约定出卖人保留合同标的物的所有权，在标的物所有权转移前，买受人有下列情形之一，造成出卖人损害的，除当事人另有约定外，出卖人有权取回标的物：
（一）未按照约定支付价款，经催告后在合理期限内仍未支付；
（二）未按照约定完成特定条件；
（三）将标的物出卖、出质或者作出其他不当处分。
出卖人可以与买受人协商取回标的物；协商不成的，可以参照适用担保物权的实现程序。",所有权保留条款是保护卖方的条款。若合同标的较大，双方约定所有权保留条款的，建议约定明确。,,所有权保留条款审核,所有权转移审核
指定收货人,识别,,,,未识别,,"收货人信息缺失或约定不明确，建议补充完整。
收货的约定不明确容易产生卖方是否完全履行交货义务的证明问题，可以在合同中就事先约定买方指定人员签收即为有效，卖方交货时就只能直接交由该指定人员签收，这时对买方也同样有效。",中,,收货人的信息是否约定明确关系到到货物的签收以及送货单是否具有效力的问题。为避免后面的纠纷，建议双方指定收货人进行货物的签收。,,明确指定收货人条款审核,合同履行条款审核
验收标准,识别,验收标准|验收方法,作为卖方应与买方明确质量合格的标准，如无法达到验收标准卖方是否承担违约责任，有哪些救济方式。还可规定质量异议期，即买方在收到货后的质量异议期内未及时验收或未提出异议的，视为达到验收标准。,"1、作为买方对产品质量的要求，尽量采用可量化的标准，如每一批次货物的合格率，并附产品合格条件。
2、验收一般分为表面验收和质量验收两个环节，验收完成后要出具验收合格报告往往关系到货款的支付（质量合格的，要规定合格后的货款/尾款支付期限，不合格后的救济方式）。
3、买方应当在检验期限内将标的物的数量或者质量不符合约定的情形通知卖方。",未识别,,"验收标准条款缺失或约定不明确，建议补充完整。
货物验收是货物采购合同中至关重要的条款，关系到质保和货款的支付等，在实践中验收环节往往是争议频发的时间点，因此双方都要足够重视货物验收，并对此环节里双方的权利义务作出清晰明确的规定。",高,"【《中华人民共和国民法典》第六百二十一条】当事人约定检验期限的，买受人应当在检验期限内将标的物的数量或者质量不符合约定的情形通知出卖人。买受人怠于通知的，视为标的物的数量或者质量符合约定。
当事人没有约定检验期限的，买受人应当在发现或者应当发现标的物的数量或者质量不符合约定的合理期限内通知出卖人。买受人在合理期限内未通知或者自收到标的物之日起二年内未通知出卖人的，视为标的物的数量或者质量符合约定;但是，对标的物有质量保证期的，适用质量保证期，不适用该二年的规定。
出卖人知道或者应当知道提供的标的物不符合约定的，买受人不受前两款规定的通知时间的限制。",检验标准和方法为采购合同的一般条款，关系交付标准，买卖双方应当明确约定。,,标的物验收标准条款审核,合同验收条款审核
验收期限,识别,验收时间|验收异议期限,卖方应该注意合同中应约定合理的验收期限，并催促对方及时验收。,买方如需要时间进行产品验收或对标的物进行试用或调试的，应约定验收的时间以及在约定时间内未验收的处理办法。,未识别,,"验收期限条款缺失或约定不明确，建议补充完整。
采购合同中一般都会规定验收期限，以便于在合理时间内充分的验收。如买方要求需要一定时间进行验收的，一定要与卖房明确约定验收期限。还可以约定买受人在一定期间未提出异议的，则视为验收合格。",高,"【《中华人民共和国民法典》第六百二十条】买受人收到标的物时应当在约定的检验期限内检验。没有约定检验期限的，应当及时检验。|【《中华人民共和国民法典》第六百二十一条】当事人约定检验期限的，买受人应当在检验期限内将标的物的数量或者质量不符合约定的情形通知出卖人。买受人怠于通知的，视为标的物的数量或者质量符合约定。
当事人没有约定检验期限的，买受人应当在发现或者应当发现标的物的数量或者质量不符合约定的合理期限内通知出卖人。买受人在合理期限内未通知或者自收到标的物之日起二年内未通知出卖人的，视为标的物的数量或者质量符合约定；但是，对标的物有质量保证期的，适用质量保证期，不适用该二年的规定。
出卖人知道或者应当知道提供的标的物不符合约定的，买受人不受前两款规定的通知时间的限制。|【《中华人民共和国民法典》第六百二十二条】当事人约定的检验期限过短，根据标的物的性质和交易习惯，买受人在检验期限内难以完成全面检验的，该期限仅视为买受人对标的物的外观瑕疵提出异议的期限。
约定的检验期限或者质量保证期短于法律、行政法规规定期限的，应当以法律、行政法规规定的期限为准。|【《中华人民共和国民法典》第六百二十三条】当事人对检验期限未作约定，买受人签收的送货单、确认单等载明标的物数量、型号、规格的，推定买受人已经对数量和外观瑕疵进行检验，但是有相关证据足以推翻的除外。",采购合同应当约定合理的验收期限以及验收的异议时间。,,标的物验收期限条款审核,合同验收条款审核
安装调试,识别,技术支持服务,,,未识别,,安装调试条款缺失或约定不明确，建议补充完整。某些商品需要安装、调试等附加服务，如存在需要明确安装调试的期限及标准。,中,,采购合同中除了货物的交付以外，还存在提供货物的安装和调试等附加服务，买卖双方需明确约定安装调试的期限及标准等内容。,,安装调试服务条款审核,合同附加服务审核
知识产权,识别,,,,未识别，不作审核,,,中,【《中华人民共和国民法典》第六百条】出卖具有知识产权的标的物的，除法律另有规定或者当事人另有约定外，该标的物的知识产权不属于买受人。,知识产权条款对于涉及或可能涉及到知识产权权属及其保护的合同来说是必备条款，但并非说所有合同都需要写入知识产权条款。涉及到知识产权的买卖合同需要买卖双方对于知识产权的归属作出明确约定，不约定的一般不会发生合同标的物之上的知识产权转移。,,知识产权保护条款审核,知识产权审核
商业秘密,识别,保密条款,,,未识别，不作审核,,,中,,采购双方在交易过程的各个环节都存在着程度不同的泄密风险，所以采购双方可以在合同中设置保密条款甚至签订专门的保密协议。,,保密条款审核,商业秘密审核
支付方式,识别,转账|现金,,,未识别,,"支付方式条款缺失或约定不明确，建议补充完整。
如可约定银行转账、支付宝、微信、现金支付等支付方式。并备注“货款”。现金支付的，付款方应当场要求收款方交付支付凭证。",高,【《中华人民共和国民法典》第六百二十六条】买受人应当按照约定的数额和支付方式支付价款。,支付方式为采购合同的一般条款，关系价款交付方式，常见的付款方式有银行转账、现金、支付宝转账等。,,货款的给付方式审核,合同履行条款审核
支付周期,识别,支付方式,对于卖方来说，支付周期应尽量写明结算期限，并且期限尽量要短，付款条款尽量明确，以保证顺利回款。,对于买方来说，要按照合同约定的支付周期来进行结算。,未识别,,"支付周期条款缺失或约定不明确，建议补充完整。
常见的支付周期有一次性付款、分期付款等。采购双方应当明确约定货款支付的方式、时间、地点等。",高,"【《中华人民共和国民法典》第六百二十六条】买受人应当按照约定的数额和支付方式支付价款。|【《中华人民共和国民法典》第六百二十七条】买受人应当按照约定的地点支付价款。|【《中华人民共和国民法典》第六百二十八条】买受人应当按照约定的时间支付价款。|【《中华人民共和国民法典》第六百三十四条】分期付款的买受人未支付到期价款的数额达到全部价款的五分之一，经催告后在合理期限内仍未支付到期价款的，出卖人可以请求买受人支付全部价款或者解除合同。
出卖人解除合同的，可以向买受人请求支付该标的物的使用费。",支付周期为采购合同的一般条款，关系交易安全，建议双方明确约定。,,货款支付周期审核,合同履行条款审核
付款条件,识别,,,,未识别，不作审核,,,低,,采购合同中可以约定付款条件，比如买方在开票后再付款，对账后付款，验收合格后付款等，保护交易安全。,,货款给付的前提条件审核,合同履行条款审核
开户行,识别,开户行|开户网点|支行,,,未识别,,开户行信息缺失或约定不明确，建议补充完整。,中,,采购双方如产生诉讼，需要申请诉讼保全，可利用合同中写明的开户信息作为财产线索。且利用指定账户打款、收款，能有效避免争议,,开户行信息审核,合同收款账户审核
开户名称,识别,开户名|名称,,,未识别,,开户名称缺失或约定不明确，建议补充完整。,中,,采购双方如产生诉讼，需要申请诉讼保全，可利用合同中写明的开户信息作为财产线索。且利用指定账户打款、收款，能有效避免争议,,收款账户审核,合同收款账户审核
账号,银行卡号校验,,,,未识别,,银行卡号缺失或约定不明确，建议补充完整。,中,,采购双方如产生诉讼，需要申请诉讼保全，可利用合同中写明的开户信息作为财产线索。且利用指定账户打款、收款，能有效避免争议,银行卡号校验错误，建议核实。,收款账户信息规范性审核,合同收款账户审核
开票时间,识别,,,,未识别,,开票时间约条款缺失或约定不明确，建议补充完整。,低,【《中华人民共和国发票管理办法》第二十二条】开具发票应当按照规定的时限、顺序、栏目，全部联次一次性如实开具，并加盖发票专用章。,,,开票时间审核,发票信息审核
发票类型,识别,普通发票|专业发票|增值税专用发票,,,未识别,,发票类型缺失或约定不明确，建议补充完整。,中,,发票类型关系到是否可以税务抵扣，专用发票有抵扣联，必须通过专用开票机或者通过税局代开，通过认证并符合条件的可以用于进项税抵扣,,发票类型审核,发票信息审核
开票信息,开票审核,发票信息,,,未识别,,开票信息缺失，建议补充完整。开票信息一般包括公司全称和纳税人识别号，公司全称必须是营业执照上的公司名称，不能错字或少字。,中,,开票信息是买卖合同中的必备信息，关系到开票以及后续的付款收货凭证。,,发票信息规范性审核,发票信息审核
开票缺失,违法,无需开票|不开发票,,,未识别，不作审核,,,,,,填开发票的单位和个人必须在发生经营业务确认营业收入时开具发票。,发票条款规范性审核,发票信息审核
合同卖方解除,识别,合同解除|解除合同,,,未识别,,"合同买方解除条款缺失或约定不明确，建议补充完整。
合同解除分为法定解除与约定解除。约定解除指当事人协商一致，可以解除合同；法定解除指合同解除的条件须满足法律规定。法定解除情形包括：
1．因不可抗力致使不能实现合同目的；
2．在履行期限届满之前，当事人一方明确表示或者以自己的行为表明不履行主要债务。此即债务人拒绝履行，也称毁约；
3．当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行。此即债务人迟延履行；
4．当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的；
5．法律规定的其他情形。",中,"【《中华人民共和国民法典》第五百六十二条】当事人协商一致，可以解除合同。当事人可以约定一方解除合同的事由。解除合同的事由发生时，解除权人可以解除合同。|【《中华人民共和国民法典》第五百六十三条】有下列情形之一的，当事人可以解除合同：（一）因不可抗力致使不能实现合同目的；（二）在履行期限届满前，当事人一方明确表示或者以自己的行为表明不履行主要债务；（三）当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行；（四）当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的；（五）法律规定的其他情形。以持续履行的债务为内容的不定期合同，当事人可以随时解除合同，但是应当在合理期限之前通知对方。|【《中华人民共和国民法典》第五百九十七条】因出卖人未取得处分权致使标的物所有权不能转移的，买受人可以解除合同并请求出卖人承担违约责任。
法律、行政法规禁止或者限制转让的标的物，依照其规定。",合同解除条款应尽量保持买方与卖方的权利义务相一致，卖方可以根据买方的义务置顶相应的约定解除条款。,,合同解除条款审核,合同解除条款审核
合同买方解除,识别,合同解除|解除合同,,,未识别,,"合同买方解除条款缺失或约定不明确，建议补充完整。
合同解除分为法定解除与约定解除。约定解除指当事人协商一致，可以解除合同；法定解除指合同解除的条件须满足法律规定。法定解除情形包括：
1．因不可抗力致使不能实现合同目的；
2．在履行期限届满之前，当事人一方明确表示或者以自己的行为表明不履行主要债务。此即债务人拒绝履行，也称毁约；
3．当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行。此即债务人迟延履行；
4．当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的；
5．法律规定的其他情形。",中,"【《中华人民共和国民法典》第五百六十二条】当事人协商一致，可以解除合同。当事人可以约定一方解除合同的事由。解除合同的事由发生时，解除权人可以解除合同。|【《中华人民共和国民法典》第五百六十三条】有下列情形之一的，当事人可以解除合同：（一）因不可抗力致使不能实现合同目的；（二）在履行期限届满前，当事人一方明确表示或者以自己的行为表明不履行主要债务；（三）当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行；（四）当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的；（五）法律规定的其他情形。以持续履行的债务为内容的不定期合同，当事人可以随时解除合同，但是应当在合理期限之前通知对方。|【《中华人民共和国民法典》第五百九十七条】因出卖人未取得处分权致使标的物所有权不能转移的，买受人可以解除合同并请求出卖人承担违约责任。
法律、行政法规禁止或者限制转让的标的物，依照其规定。",合同解除条款应尽量保持买方与卖方的权利义务相一致，买方可以根据卖方的义务置顶相应的约定解除条款。,,合同解除条款审核,合同解除条款审核
违约责任,违约金审核,违约|经济责任,卖方应注意在合同中需约定：1、买方逾期付款的违约责任 2、买方不及时验收导致不付款的违约责任，同时做到按时保质保量向买方交货。,"买方应注意在合同中需约定：1、卖方逾期交货的责任 2、卖方货物不符合质量标准的责任（包括包装不合格和售后不合格）。
同时保证在合同约定的付款时间内走完付款流程，按时付款。",未识别,,"违约责任条款缺失或约定不明确，建议补充完整。
若约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。",高,"【《中华人民共和国民法典》第五百七十七条】当事人一方不履行合同义务或者履行合同义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。|【《中华人民共和国民法典》第五百八十三条】当事人一方不履行合同义务或者履行合同义务不符合约定的，在履行义务或者采取补救措施后，对方还有其他损失的，应当赔偿损失。|【《中华人民共和国民法典》第五百八十五条】当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。
约定的违约金低于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以增加；约定的违约金过分高于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以适当减少。
当事人就迟延履行约定违约金的，违约方支付违约金后，还应当履行债务。",违约责任条款未约定或未明确约定，如一方违约，守约方可能无法要求其承担相应的违约责任。,约定违约金的，违约金不得超过损失的30%。,违约责任合理性、合规性审核,合同违约条款审核
定金,定金审核,定金,卖方应当按照约定向买方交货，否则将承担双倍返还定金的违约责任。,买方应当按照约定向卖方支付货款，否则将承担损失定金的违约责任。,未识别，不作审核,,"定金条款缺失或约定不明确，建议补充完整。
定金不得超过主合同标的额的百分之二十，超过部分不产生定金的效力。实际交付的定金数额多于或者少于约定数额的，视为变更约定的定金数额。给付定金的一方不履行约定义务的，无权要求返还定金。收受定金的一方不履行约定的义务的，应当双倍返还定金。",中,"【《中华人民共和国民法典》第五百八十六条】当事人可以约定一方向对方给付定金作为债权的担保。定金合同自实际交付定金时成立。
定金的数额由当事人约定；但是，不得超过主合同标的额的百分之二十，超过部分不产生定金的效力。实际交付的定金数额多于或者少于约定数额的，视为变更约定的定金数额。|【《中华人民共和国民法典》第五百八十七条】债务人履行债务的，定金应当抵作价款或者收回。给付定金的一方不履行债务或者履行债务不符合约定，致使不能实现合同目的的，无权请求返还定金；收受定金的一方不履行债务或者履行债务不符合约定，致使不能实现合同目的的，应当双倍返还定金。|【《中华人民共和国民法典》第五百八十八条】当事人既约定违约金，又约定定金的，一方违约时，对方可以选择适用违约金或者定金条款。定金不足以弥补一方违约造成的损失的，对方可以请求赔偿超过定金数额的损失。",定金有担保合同履行、证明合同成立、违约赔偿等作用，双方应在合同中明确约定定金金额、支付方式等。,约定的定金过高，建议核实。双方约定的定金不得超过合同总价的20%，超过的部分不产生定金的效力。,定金金额合理性、合规性审核,合同定金审核
预付款,预付款审核,预付|合同签订后支付|先支付,,,未识别,,"预付款条款缺失或约定不明确，建议补充完整。
预付款数额没有任何限制，但建议不高于合同总价的50%，否则将增加交易风险",中,,,约定的预付款过高，建议核实。双方约定的预付款建议不超过合同总价的50%，否则将增加交易风险。,预付款金额合理性审核,合同预付款审核
通知与送达,识别,,,,未识别，不作审核,,"通知与送达条款是为了方便签约各方互相发送通知而写明签约方的地址、邮箱等送达信息，目的在便于发送通知的基础上,进一步确保该通知的发送是有效的送达,避免纠纷发生时因送达存在瑕疵而被认定为未及时、未效而承担不利后果。因此建议补充完整。",低,,,,通知与送达条款审核,通知与送达审核
合同生效,识别,,,,未识别,,"生效条款缺失或约定不明确，建议补充完整。
一般合同自双方签字或盖章后生效。",中,,,,生效条款审核,合同效力条款审核
争议解决,识别,人民法院|争议.*(解决|仲裁|起诉|诉讼),,,未识别,,"争议解决条款缺失或约定不明确，建议补充完整。
如发生争议双方应友好协商解决。如果管辖法院约定不明确，一般应根据《民事诉讼法》第二十三条规定“因合同纠纷提起的诉讼，由被告住所地或者合同履行地人民法院管辖”。既约定仲裁又约定了诉讼的争议条款的，一般认定为无效条款。",中,,争议解决条款是当事人针对后续可能发生的争议提前约定处理方式的条款。,,合同争议解决方式审核,合同争议解决方式审核
签订日期,识别,,,,未识别,,合同签订日期缺失，建议补充完整。,低,,签订日期为合同成立日期。,,合同落款日期审核,合同签订信息条款审核
附件,识别,,,,未识别，不作审核,,附件缺失，建议补充完整。采购合同中，一般附有采购清单和报价表。,低,,采购合同订立前的标的物质量及技术要求文件，履行过程中的一切发票、送货单、签收单、验收单，以及双方来往的记录、公函等都应作为合同附件，交易流程较为复杂的，由专人及时跟进和记录。,,合同附件审核,合同附件审核