schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,,
标题,识别,离婚协议|自愿离婚协议,,,未识别,,协议的标题缺失，建议写明“离婚协议”等字样。,低,【《中华人民共和国民法典》第一千零七十六条】夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。,,,,
男方姓名,识别,甲方|协议人,,,未识别,,男方姓名缺失，建议补充完整。,中,,男方姓名应当与结婚证上的姓名一致。,,,
男方身份证号,身份证号校验,,,,未识别,,男方身份证号缺失，建议补充完整。,中,,,男方身份证号校验错误，建议核实。,,
男方地址,识别,现住.*,,,未识别,,男方地址缺失，建议补充完整。,中,,,,,
男方联系方式,联系方式校验,,,,未识别,,男方联系方式缺失，建议补充完整。,中,,,男方联系方式校验错误，建议核实。,,
女方姓名,识别,乙方|协议人,,,未识别,,女方姓名缺失，建议补充完整。,中,,女方姓名应当与结婚证上的姓名一致。,,,
女方身份证号,身份证号校验,,,,未识别,,女方身份证号缺失，建议补充完整。,中,,,女方身份证号校验错误，建议核实。,,
女方联系方式,联系方式校验,,,,未识别,,女方联系方式缺失，建议补充完整。,中,,,女方联系方式校验错误，建议核实。,,
女方地址,识别,现住.*,,,未识别,,女方地址缺失，建议补充完整。,中,,,,,
鉴于条款,识别,,,,未识别，不作审核,,,低,,,,,
结婚登记信息,识别,.*民政局登记结婚,,,未识别,,"结婚登记信息条款缺失，建议补充完整。
离婚协议书中建议写明结婚登记时间、登记机关。",中,,结婚登记是离婚登记的前提，结婚登记信息是离婚协议的常备条款。,,,
离婚原因,识别,感情破裂|协商.*离婚|性格不合,,,未识别,,离婚原因缺失，建议补充完整。,中,,离婚原因与是否自愿离婚直接相关，离婚协议书中载明双方感情破裂，无和好可能，自愿离婚的意思表示。,,,
自愿离婚,识别,自愿.*离婚,,,未识别,,自愿离婚条款缺失，建议补充完整。,高,【《中华人民共和国民法典》第一千零七十八条】婚姻登记机关查明双方确实是自愿离婚，并已经对子女抚养、财产以及债务处理等事项协商一致的，予以登记，发给离婚证。,离婚协议书中载明双方自愿离婚的意思表示。未表明自愿离婚可能会影响离婚登记。,,,
分居,识别,.*年.*月.*日分居,,,未识别，不作审核,,,低,,,,,
子女抚养,识别,孩子.*抚养|孩子.*负责,,,未识别,,"子女抚养条款缺失或约定不明确，建议补充完整。
未对子女抚养协商一致可能会影响离婚登记。",高,"【《中华人民共和国民法典》第一千零七十六条】夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。
离婚协议应当载明双方自愿离婚的意思表示和对子女抚养、财产以及债务处理等事项协商一致的意见。|【《中华人民共和国民法典》第一千零八十四条】父母与子女间的关系，不因父母离婚而消除。离婚后，子女无论由父或者母直接抚养，仍是父母双方的子女。
离婚后，父母对于子女仍有抚养、教育、保护的权利和义务。
离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。",离婚协议中一般会约定由父或母直接抚养孩子，双方也可约定共同或轮流抚养子女。,,,
抚养费支付期间,识别,给付至.*,,,未识别,,"抚养费支付期限条款缺失或约定不明确，建议补充完整。
不直接抚养子女的一方应该负担全部或部分抚养费，一般建议约定抚养费给付至子女成年或有独立生活能力。",高,"【《中华人民共和国民法典》第一千零八十五条】离婚后，子女由一方直接抚养的，另一方应当负担部分或者全部抚养费。负担费用的多少和期限的长短，由双方协议；协议不成的，由人民法院判决。
前款规定的协议或者判决，不妨碍子女在必要时向父母任何一方提出超过协议或者判决原定数额的合理要求。",抚养费负担费用的期限的长短，由双方协商，建议在协议中明确写明具体的支付期限，防止后续纠纷。,,,
抚养费金额,识别,,,,未识别,,抚养费金额条款缺失或约定不明确，建议补充完整。对于抚养费的具体金额，应当明确约定，还可以对子女的教育费、医疗费等相关费用作出额外约定。还应当考虑到物价涨幅等因素，可以约定抚养费根据物价上涨指数适当递增。,高,"【《中华人民共和国民法典》第一千零八十五条】离婚后，子女由一方直接抚养的，另一方应当负担部分或者全部抚养费。负担费用的多少和期限的长短，由双方协议；协议不成的，由人民法院判决。
前款规定的协议或者判决，不妨碍子女在必要时向父母任何一方提出超过协议或者判决原定数额的合理要求。",抚养费负担的多少，由双方协议约定。,,,
抚养费支付方式,识别,,,,未识别,,抚养费支付方式条款缺失或约定不明确，建议补充完整。,高,,离婚协议中需要对子女的抚养费做出约定，建议明确约定抚养费给付方式，明确收款项账户或者微信、支付宝。,,,
抚养费支付时间、周期,识别,按月给付|每月.*日前给付|一次性支付,,,未识别,,抚养费支付时间、周期条款缺失或约定不明确，建议补充完整。,高,"【《中华人民共和国民法典》第一千零八十四条】父母与子女间的关系，不因父母离婚而消除。离婚后，子女无论由父或者母直接抚养，仍是父母双方的子女。
离婚后，父母对于子女仍有抚养、教育、保护的权利和义务。
离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。
【《中华人民共和国民法典》第一千零八十五条】离婚后，子女由一方直接抚养的，另一方应当负担部分或者全部抚养费。负担费用的多少和期限的长短，由双方协议；协议不成的，由人民法院判决。
前款规定的协议或者判决，不妨碍子女在必要时向父母任何一方提出超过协议或者判决原定数额的合理要求。|【《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）第四十二条】民法典第一千零六十七条所称“抚养费”，包括子女生活费、教育费、医疗费等费用。",离婚协议中需要对子女的抚养费做出约定，建议明确约定抚养费给付时间以及周期等，比如是一次性给付或是按月给付，,,,
探望时间,识别,,,,未识别,,探望时间条款缺失或约定不明确，建议补充完整。,中,"【《中华人民共和国民法典》第一千零八十六条】离婚后，不直接抚养子女的父或者母，有探望子女的权利，另一方有协助的义务。
行使探望权利的方式、时间由当事人协议；协议不成的，由人民法院判决。
父或者母探望子女，不利于子女身心健康的，由人民法院依法中止探望；中止的事由消失后，应当恢复探望。",探望权条款是离婚协议中的重要条款，建议双方对探望时间协商一致，明确约定，例如一个周期内具体探望时间，还可以对节假日的探望时间作出具体规定。,,,
探望时长,识别,,,,未识别,,探望时长条款缺失或约定不明确，建议补充完整。,中,"【《中华人民共和国民法典》第一千零八十六条】离婚后，不直接抚养子女的父或者母，有探望子女的权利，另一方有协助的义务。
行使探望权利的方式、时间由当事人协议；协议不成的，由人民法院判决。
父或者母探望子女，不利于子女身心健康的，由人民法院依法中止探望；中止的事由消失后，应当恢复探望。",探望权条款是离婚协议中的重要条款，建议双方对探望时长协商一致，明确约定，例如探望半天或具体时长，以防在探望子女过程中发生争议。,,,
探望地点,识别,,,,未识别,,探望地点条款缺失或约定不明确，建议补充完整。,中,"【《中华人民共和国民法典》第一千零八十六条】离婚后，不直接抚养子女的父或者母，有探望子女的权利，另一方有协助的义务。
行使探望权利的方式、时间由当事人协议；协议不成的，由人民法院判决。
父或者母探望子女，不利于子女身心健康的，由人民法院依法中止探望；中止的事由消失后，应当恢复探望。",探望权条款是离婚协议中的重要条款，建议双方协商一致，对探望地点明确约定，例如在指定地点探望还是在抚养人处探望，以防在探望子女过程中发生争议。,,,
探望方式,识别,,,,未识别,,"探望方式条款缺失或约定不明确，建议补充完整。
不直接抚养子女的一方具有探望孩子的权利，另一方有协助的义务，双方可以对探望的时间、次数、地点、方式作出明确约定。还可以对节假日、寒暑假的探望作出具体的约定。",中,"【《中华人民共和国民法典》第一千零八十六条】离婚后，不直接抚养子女的父或者母，有探望子女的权利，另一方有协助的义务。
行使探望权利的方式、时间由当事人协议；协议不成的，由人民法院判决。
父或者母探望子女，不利于子女身心健康的，由人民法院依法中止探望；中止的事由消失后，应当恢复探望。",探望权条款是离婚协议中的重要条款，建议双方协商一致，对探望方式明确约定，例如是否可以过夜，由谁接送子女，以防在子女探望过程中发生争议。,,,
婚前财产,识别,婚前.*资产|财产|资金|财务,,,未识别,,"婚前财产条款缺失或约定不明确，建议补充完整。
婚前财产为夫妻一方的个人财产，另一方对其无权利。",高,"【《中华人民共和国民法典》第一千零六十三条】下列财产为夫妻一方的个人财产：
（一）一方的婚前财产；
（二）一方因受到人身损害获得的赔偿或者补偿；
（三）遗嘱或者赠与合同中确定只归一方的财产；
（四）一方专用的生活用品；
（五）其他应当归一方的财产。",婚前财产的约定是离婚协议中的重要条款，应当明确列出婚前财产，防止后续的财产纠纷。,,,
房屋,识别,购房款|房款|房屋总价|房屋总金额,,,未识别,,"房屋条款缺失或约定不明确，建议补充完整。
若双方要对房屋进行处理的，双方应当明确写明房屋的位置、面积、价款等具体信息，以及对分割方法、补偿金、变更登记、过户费用作出具体明确的约定。",高,,房屋是婚后财产的重要内容，建议双方作出明确的约定，防止后续的纠纷。,,,
存款,识别,银行存款|现金,,,未识别,,"双方存款缺失或约定不明确，建议补充完整。
存款一般包括现金和银行存款，建议双方明确约定存款的分割方法以及给付方式。存款金额要大小写一致，明确币种。",高,,存款是婚后财产的重要内容，建议双方作出明确的约定，防止后续的纠纷。,,,
汽车,识别,汽车|轿车,,,未识别,,"汽车条款缺失或约定不明确，建议补充完整。
若双方要对汽车进行处理的，双方应当明确写明汽车的牌照、品牌、价款等具体信息，以及对分割方法、补偿金、变更登记、过户费用作出具体明确的约定。",高,,汽车是婚后财产的重要内容，建议双方作出明确的约定，防止后续的纠纷。,,,
公司股份,识别,股权|股份,,,未识别,,"公司股份条款缺失或约定不明确，建议补充完整。
若双方要对持有的公司股份进行处理的，双方应当明确写明股份的公司全称、出资情况、股权价值等具体信息，以及对分割方法、补偿金、变更登记、过户费用等作出具体明确的约定。",高,,公司股份是婚后财产的重要内容，建议双方作出明确的约定，防止后续的纠纷。,,,
其他财产,识别,家具|公积金|养老保险|知识产权|个人用品,,,未识别,,"其他财产条款缺失或约定不明确，建议补充完整。
夫妻的共同财产内容众多，应当对主要的财产作出明确的处理约定。",中,"【《中华人民共和国民法典》第一千零六十二条】夫妻在婚姻关系存续期间所得的下列财产，为夫妻的共同财产，归夫妻共同所有：
（一）工资、奖金、劳务报酬；
（二）生产、经营、投资的收益；
（三）知识产权的收益；
（四）继承或者受赠的财产，但是本法第一千零六十三条第三项规定的除外；
（五）其他应当归共同所有的财产。|【《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第二十五条】婚姻关系存续期间，下列财产属于民法典第一千零六十二条规定的“其他应当归共同所有的财产”：（一）一方以个人财产投资取得的收益；（二）男女双方实际取得或者应当取得的住房补贴、住房公积金；（三）男女双方实际取得或者应当取得的基本养老金、破产安置补偿费。|【《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第二十六条】夫妻一方个人财产在婚后产生的收益，除孳息和自然增值外，应认定为夫妻共同财产。|【《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第二十七条 】由一方婚前承租、婚后用共同财产购买的房屋，登记在一方名下的，应当认定为夫妻共同财产|【《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第二十八条】一方未经另一方同意出售夫妻共同所有的房屋，第三人善意购买、支付合理对价并已办理不动产登记，另一方主张追回该房屋的，人民法院不予支持。
夫妻一方擅自处分共同所有的房屋造成另一方损失，离婚时另一方请求赔偿损失的，人民法院应予支持。",其他财产的范围较大，建议双方对具体的财产作出明确的约定，防止后续的纠纷。,,,
债务处理,识别,欠款,,,未识别,,"债务处理条款缺失或约定不明确，建议补充完整。
债务应当区分个人债务和夫妻共同债务，且对这些债务的分割作出明确的约定，建议双方明确债务的债权人、金额、利率、抵押担保、期限等信息，对于金额的书写要注意大小写一致，且明确币种。",高,"【《中华人民共和国民法典》第一千零六十四条】夫妻双方共同签名或者夫妻一方事后追认等共同意思表示所负的债务，以及夫妻一方在婚姻关系存续期间以个人名义为家庭日常生活需要所负的债务，属于夫妻共同债务。
夫妻一方在婚姻关系存续期间以个人名义超出家庭日常生活需要所负的债务，不属于夫妻共同债务；但是，债权人能够证明该债务用于夫妻共同生活、共同生产经营或者基于夫妻双方共同意思表示的除外。|【《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第三十五条】当事人的离婚协议或者人民法院生效判决、裁定、调解书已经对夫妻财产分割问题作出处理的，债权人仍有权就夫妻共同债务向男女双方主张权利。一方就夫妻共同债务承担清偿责任后，主张由另一方按照离婚协议或者人民法院的法律文书承担相应债务的，人民法院应予支持。",债务处理是处理夫妻财产的重要内容，建议双方作出明确的约定，防止后续的纠纷。需注意离婚协议中关于共同债务的约定不能直接对抗第三人，债权人仍有权就夫妻共同债务向男女双方主张权利。,,,
债权处理,识别,债权,,,未识别,,"债权处理条款缺失或约定不明确，建议补充完整。
债权应当区分个人债权和夫妻共同债权，且对这些债权的分割作出明确的约定，建议双方明确债权的债务人、金额、利率、抵押担保、期限等信息，对于金额的书写要注意大小写一致，且明确币种。",高,,债权处理是处理夫妻财产的重要内容，建议双方作出明确的约定，防止后续的纠纷。,,,
补偿,识别,一次性补偿|支付补偿费,,,未识别,,"补偿条款缺失或约定不明确，建议补充完整。
夫妻一方因抚育子女、照料老年人、协助另一方工作等负担较多义务的，另一方应当作出补偿，双方应当对补偿金额、给付方式、给付时间等作出明确的约定。对于金额的书写要注意大小写一致，且明确币种。",高,【《中华人民共和国民法典》第一千零八十八条】夫妻一方因抚育子女、照料老年人、协助另一方工作等负担较多义务的，离婚时有权向另一方请求补偿，另一方应当给予补偿。具体办法由双方协议；协议不成的，由人民法院判决。|【《中华人民共和国民法典》第一千零九十条】离婚时，如果一方生活困难，有负担能力的另一方应当给予适当帮助。具体办法由双方协议；协议不成的，由人民法院判决。,补偿条款是处理夫妻财产的重要内容，建议双方作出明确的约定，防止后续的纠纷。,,,
违约责任,违约金审核,违约|经济责任,,,未识别,,"违约责任条款缺失或约定不明确，建议补充完整。
若约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。",高,"【《中华人民共和国民法典》第五百七十七条】当事人一方不履行合同义务或者履行合同义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。|【《中华人民共和国民法典》第五百八十三条】当事人一方不履行合同义务或者履行合同义务不符合约定的，在履行义务或者采取补救措施后，对方还有其他损失的，应当赔偿损失。|【《中华人民共和国民法典》第五百八十五条】当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。
约定的违约金低于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以增加；约定的违约金过分高于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以适当减少。
当事人就迟延履行约定违约金的，违约方支付违约金后，还应当履行债务。",违约责任条款未约定或未明确约定，如一方违约，守约方可能无法要求其承担相应的违约责任。,,,
争议解决,识别,,,,未识别,,离婚协议系具有人身属性的特殊协议，不符合合同或者其他财产权益纠纷可以约定管辖的情形，不适用约定管辖，而应适用一般地域管辖的规定，由被告住所地人民法院管辖，被告住所地与经常居住地不一致的，由经常居住地人民法院管辖。如果夫妻一方离开户籍地超过一年，另一方起诉离婚的案件，是可以由原告户籍地人民法院管辖的。而夫妻双方均离开户籍地超过一年，则又回归到“原告就被告”的一般管辖原则，由被告经常居住地人民法院管辖，没有经常居住地的，由原告起诉时被告居住地人民法院管辖。,高," 【《中华人民共和国民事诉讼法 》第二十二条】对公民提起的民事诉讼，由被告住所地人民法院管辖；被告住所地与经常居住地不一致的，由经常居住地人民法院管辖。|【《最高人民法院关于适用《中华人民共和国民事诉讼法》的解释》第三十四条】当事人因同居或者在解除婚姻、收养关系后发生财产争议，约定管辖的，可以适用民事诉讼法第三十五条规定确定管辖。|【《中华人民共和国民事诉讼法 》第三十五条】合同或者其他财产权益纠纷的当事人可以书面协议选择被告住所地、合同履行地、合同签订地、原告住所地、标的物所在地等与争议有实际联系的地点的人民法院管辖，但不得违反本法对级别管辖和专属管辖的规定。|【《最高人民法院关于适用《中华人民共和国民事诉讼法》的解释》第十二条】 夫妻一方离开住所地超过一年，另一方起诉离婚的案件，可以由原告住所地人民法院管辖。
夫妻双方离开住所地超过一年，一方起诉离婚的案件，由被告经常居住地人民法院管辖；没有经常居住地的，由原告起诉时被告居住地人民法院管辖。",离婚协议系具有人身属性的特殊协议，不符合合同或者其他财产权益纠纷可以约定管辖的情形，不适用约定管辖，而应适用一般地域管辖的规定。,,,
协议生效,识别,,,,未识别,,"生效条款缺失或约定不明确，建议补充完整。
离婚协议协议自双方签字或盖章，完成离婚登记后生效",高,【《中华人民共和国民法典》第一千零八十条　】完成离婚登记，或者离婚判决书、调解书生效，即解除婚姻关系。|【《中华人民共和国民法典》第一千零七十六条】夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。,离婚协议的成立并不意味着离婚协议的生效。离婚协议中关于财产如何分割、子女由谁抚养等内容的约定都是以夫妻双方解除婚姻关系为前提条件。,,,
签订日期,识别,,,,未识别,,离婚协议签订日期缺失，建议补充完整。,低,,签订日期为协议成立日期。,,,
附件,识别,财产清单,,,未识别,,"附件缺失，建议补充完整。
离婚协议中，建议附上完整的财产清单。",中,,财产清单可作为离婚协议的附件。,,,
