文档名,文本内容,schema,审核意见,审核结果,
caigou1,,定金,,通过
caigou1,违约金可由付款时扣除，违约金为每5天按合同总金额的1%计算，不足20天时以20天计算。,违约责任,约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。
caigou2,根据《中华人民共和国合同法》，经甲乙双方充分协商，就甲方和泰传媒有限公司所需碎石的采购事宜，订立本合同双方共同遵守。,鉴于条款,"法条引用错误，《民法典》第一千二百六十条 本法自2021年1月1日起施行。
《中华人民共和国婚姻法》、《中华人民共和国继承法》、《中华人民共和国民法通则》、《中华人民共和国收养法》、《中华人民共和国担保法》、《中华人民共和国合同法》、《中华人民共和国物权法》、《中华人民共和国侵权责任法》、《中华人民共和国民法总则》同时废止。"
caigou2,构成逾期交货的应向甲方进行赔偿。逾期交货一天按该批次货款的3倍赔偿，对造成甲方具大损失时，乙方应赔偿甲方一切损失。,违约责任,约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。
caigou2,当次结算支付货款的10%，年底前付至货款总额的10%，余款一年内结清。,支付周期,支付周期过长，建议核实或修改。为了规避风险，双方应协商合理的支付周期。
caigou1,"西瓜#木瓜#",产品名称,,通过
caigou1,"1000斤#2000斤#",产品数量（重量）,,通过
caigou1,以银行划转方式与乙方结算,支付方式,,通过
caigou1,本合同由双方签字后生效,合同生效,,通过
caigou2,甲方指定地点,交货地点,"交货地点条款缺失或约定不明确，建议补充完整。
采购双方应当按照约定的地点交付货物，当事人没有约定标的物的交付期限或者约定不明确的，可以协议补充；不能达成补充协议的，按照合同相关条款或者交易习惯确定。履行地点不明确，给付货币的，在接受货币一方所在地履行；交付不动产的，在不动产所在地履行；其他标的，在履行义务一方所在地履行。",不通过
caigou2,运输至甲方指定地点并卸入指定料仓,交货方式,,通过
caigou2,合同价款中已包括碎石材料款、运输费、装卸车费、管理费、利润、风险以及乙方因出售该产品应缴纳的一切税费等全部费用,其他费用,,通过
caigou2,乙方必须在交货前对材料的品质、规格等作细致的检验，材料到工地现场卸车后，如发现其技术规格、性能与合同或甲方发出的供货单上的规格不符，质量低劣及受损坏等情况，应按以下情况分别处理：,验收标准,,通过
caigou2,甲方的验货时间为收货后三日内。,验收期限,,通过
caigou2,材料质量应严格符合国家规范并符合铁道部规范及客运专线工程所需材料质量验收标准、设计、合同及有关工程施工及验收规范的要求。同时，乙方的材料质量必须满足甲方保证工程质量而对质量、服务等提出的各种进一步要求（详见附技术要求文件），并以之为依据出具详尽的服务承诺。供应的产品应以样品为样板。否则，甲方有权随时解除合同，由此造成甲方工期延误的损失及紧急订货增加的费用等均由乙方承担,合同买方解除,,通过
caigou2,"11.1乙方对所供材料应提供甲方需要的资料，否则视为乙方违约。
11.2乙方不能交货的，应向甲方偿付不能交货部分货款总值的5%的违约金及因此造成的甲方的一切损失。
11.3乙方所交产品的品种、型号、规格不符合合同规定及甲方另行给乙方的通知的，如果甲方同意利用，应当按质论价；如果甲方不能利用的，乙方应负责按甲方要求的时间予以退换，并承担由此造成甲方费用增加、工期延误等损失；如不能予以退换的，按不能交货处理。
11.4对于因运输方式不合理造成的、货物到达指定地点之前一切原因造成的、货物到达指定地点之后一切源于乙方的责任所造成的货物的损失或丢失，乙方应承担全部责任。
11.5乙方对甲方造成的经济损失，甲方有权从乙方缴纳的风险抵押金中扣除，风险抵押金不足抵补损失时，应由乙方补齐差额部分。",违约责任,,通过
caigou2,本合同自双方签字盖章之日起生效,合同生效,,通过
caigou3,叁拾陆万元整,产品总价,,通过
caigou3,于2022年3月1日开始交付货物，分3批交付，于2022年8月1日前交付完成。,交货时间,,通过
caigou3,甲方自行准备接收货物的车辆与称量设施，包括卸载人员与费用。,其他费用,,通过
caigou3,甲方对货物质量提出异议的时限为收到货物之日起三个工作日内，并须以书面方式提出。否则，视为无异议。,验收期限,,通过
caigou3,"1.双方协商一致，可以变更、解除本合同。
2.任何一方违反本合同任何条款约定的，在对方催告后十五个工作日内没有改正为全面履行的，守约方有权书面通知违约方解除合同",合同卖方解除,,通过
caigou3,"1.双方协商一致，可以变更、解除本合同。
2.任何一方违反本合同任何条款约定的，在对方催告后十五个工作日内没有改正为全面履行的，守约方有权书面通知违约方解除合同",合同买方解除,,通过
caigou3,"1.非乙方原因，甲方延期付款，每迟延一日，甲方按日向乙方支付迟延付款金额1‰的违约金，直至款项付清之日止，乙方有权相应地迟延交付货物。
2.若乙方未能按本合同约定时间及方式将全部货物交付至甲方指定地点，每迟延一日，乙方按日向甲方支付逾期交付货物总价1‰的违约金，直至全部货物交付之日止。
3.一方接受对方逾期履行的，不视为对其违约行为的认可，仍然有权追究其违约责任，还有权解除合同。
4.在对方未履行义务前，一方按照合同约定履行自己的义务的，不等于认可对方已经履行了先前的义务或同意对方可以不再履行其义务。
5.因出现不可预见、不可避免、不可克服的事件，导致本合同无法有效及时履行的，双方互不承担违约责任。但是遭遇不可抗力方应立即通过电话、微信等方式通知对方，并在通知后的三个工作日内将不可抗力的书面有效证明及本合同无法有效及时履行的书面理由提交给对方确认。否则遭受不可抗力方需承担相应的违约责任。",违约责任,,通过
caigou3,人民币（大写）叁万（￥30000元）。,定金,,通过
caigou3,本合同自双方签章之日起生效,合同生效,,通过
caigou3,本合同在履行中产生争议，双方友好协商解决，若协商不成，任何一方均可向有关部门申请调解，也有权在原告住所地人民法院起诉解决。,争议解决,,通过
caigou1,蝴蝶超市,甲方,,通过
caigou1,由乙方提供运货单，并标明运费付现,其他费用,,通过
caigou2,和泰传媒有限公司,甲方,,通过
caigou3,由甲方提货,交货方式,,通过
caigou3,甲方在结算后三个工作日内将款项直接汇入乙方指定的收款银行账户,支付方式,,通过
caigou3,本合同生效后三个工作日内支付,支付周期,支付周期条款缺失或约定不明确，建议补充完整。常见的支付周期有一次性付款、分期付款等。,不通过
