schema,neg sentence,neg legal advice,risk level,legal basis,risk statement
甲方,长租公寓企业|不动产管理有限公司|房屋中介,业主和租客要多方了解周边租赁房屋租 金价格，对存在“高收低租”“长收短付”等高风险经营行为 的住房租赁机构要提高警惕，避免因企业“爆雷”“跑路”遭 受损失。承租人对于租金明显低于市场价格的，需要格外警惕。出租人房东应多渠道了解企业的风险状况，不可因高租金而盲目签署合同，需防范其利用租金收付周期时间差、建立资金池所可能带来的风险。,高,,住房租赁企业与业主、租户均存在合同关系，住房租赁企业的经营行为与业主、租户息息相关
房屋租赁期限,租赁期限为30年|以租代售，租赁期限为70年|转让房屋30年使用权,租赁期限条款缺失或约定不明确，建议补充完整。租赁合同期限需明确，有装修免租期的应标明装修免租期时长。租赁期限不得超过二十年，超过二十年的部分无效。,高,"《中华人民共和国民法典》第七百零五条 租赁期限不得超过二十年。超过二十年的，超过部分无效。
租赁期限届满，当事人可以续订租赁合同;但是，约定的租赁期限自续订之日起不得超过二十年。",租赁合同应明确约定租赁的起止日期，若未约定租赁期限或约定不明确的，属于不定期租赁的合同，双方当事人均可随时解除。
违约责任,一方可随时解除本合同，不负违约责任,免除了违约方违约责任,高,"【《中华人民共和国民法典》第五百七十七条】 当事人一方不履行合同义务或者履行合同义务不符合约定的,应当承担继续履行、采取补救措施或者赔偿损失等违约责任。",如一方违约，守约方可能无法要求其承担相应的违约责任。
违约责任,违约金为本合同总额的30%。|违约方应支付本合同金额40%的违约金。|每逾期一日，违约方应按未支付款项的1%计算的违约金支付守约方,约定违约金的，违约金不得超过损失的30%。,高,"【《中华人民共和国民法典》第五百七十七条】当事人一方不履行合同义务或者履行合同义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。|【《中华人民共和国民法典》第五百八十三条】当事人一方不履行合同义务或者履行合同义务不符合约定的，在履行义务或者采取补救措施后，对方还有其他损失的，应当赔偿损失。|【《中华人民共和国民法典》第五百八十五条】当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。
约定的违约金低于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以增加；约定的违约金过分高于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以适当减少。
当事人就迟延履行约定违约金的，违约方支付违约金后，还应当履行债务。",若约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。
合同解除,出租人通知承租人解除合同后，承租人应立即搬离，如未在一天内搬离，视为放弃房屋内所有财务所有权。,合同解除后，腾退时间不合理，加重承租人的租房风险。,中,,合同解除后，尚未履行的，终止履行；已经履行的，根据履行情况和合同性质，当事人可以请求恢复原状或者采取其他补救措施，并有权请求赔偿损失。
押金,承租人应支付出租人相当于四个月房租的金额作为押金,租赁合同通常约定承租人支付相当于1-3个月租金的押金给出租人，押金的数额建议控制在合同总金额的20%以内。,中,,押金主要用于担保租金的支付，防止欠租；对房屋的合理使用，防止对房屋及其附属设备的损害；防止拖欠水电费等相关费用。
支付周期,一年一付|一次性支付全部房租,房租支付周期过长，加重承租人的交易风险,高,,支付周期长短将直接影响合同双方的履约风险
租期内其他费用,电费按照4元/度收取,租期内其他费用高于电费收费标准，如包括损耗费用应明确约定。,高,,租期内其他费用承担主体应明确约定，以防出现争议。
租期内其他费用,水费按照4元/度收取,租期内其他费用高于电费收费标准，如包括损耗费用应明确约定。,高,,租期内其他费用承担主体应明确约定，以防出现争议。
合同生效,本合同租赁房屋虽为违章建筑，但不影响本合同效力，如本合同被认定为无效合同，双方一致认可仍按照本合同约定处理。,该约定为无效条款，无效合同自始无效,高,,无效合同自始无效