热门标签,问题,回答,,,
劳动争议,公司与劳动者约定服务期违约责任，劳动者在试用期内要解除劳动合同，请问能要求劳动者支付违约金吗？,劳动者违反服务期约定的，应当按照约定向用人单位支付违约金。违约金的数额不得超过用人单位提供的培训费用，同时用人单位要求劳动者支付的违约金不得超过服务期尚未履行部分所应分摊的培训费用。,,,
办公租赁,我租赁房屋需要办公用，能否租住宅性质的房屋？,如果租用住宅类房屋，但是用于办公，将导致无法申办营业执照等问题，建议注意查看房产证上的房屋用途，避免争议。,,,
合同业务,公司法人在任职期间以公司的名义签合同，但公司并不知情，公司需不需要承担责任？,公司法定代表人的行为，通常可以被认为是公司的行为。法人的法定代表人或者非法人组织的负责人超越权限订立的合同，除相对人知道或者应当知道其超越权限外，该代表行为有效，订立的合同对法人或者非法人组织发生效力。,,,
侵权损害,被别的公司侵犯商标应该怎么办？,"1.侵犯注册商标专用权行为，引起纠纷的，建议双方当事人协商解决；不愿协商或者协商不成的，商标注册人或者利害关系人可以向人民法院起诉。
2.注册商标专用权人请求赔偿，被控侵权人以注册商标专用权人未使用注册商标提出抗辩的，人民法院可以要求注册商标专用权人提供此前三年内实际使用该注册商标的证据。注册商标专用权人不能证明此前三年内实际使用过该注册商标，也不能证明因侵权行为受到其他损失的，被控侵权人不承担赔偿责任。
3.销售不知道是侵犯注册商标专用权的商品，能证明该商品是自己合法取得并说明提供者的，不承担赔偿责任。没有注册商标的(也不构成驰名商标)，不构成商标侵权。
4.收到商标起诉状的，建议积极应诉（一般法院会送达立案文书，注意真伪，防止诈骗）。商标侵权案件一审，无特殊情况六个月内宣判。",,,
建设工程,建设工程施工合同无效，但是建设工程经验收合格，应该怎么办？,建设工程施工合同无效，但是建设工程经验收合格的，可以参照合同关于工程价款的约定折价补偿承包人。,,,
工商登记,公司注册登记前需要准备哪些？,公司名称及经营范围，公司注册资金、股东出资比例，全体股东身份证原件及复印件、法定代表人身份证复印件、电话、邮箱，经营场所产权证明、租赁协议和房租发票等。,,,
股权设计,股东转让股权，其他股东可以优先购买吗？,"1.经股东同意转让的股权，在同等条件下，其他股东有优先购买权。两个以上股东主张行使优先购买权的，协商确定各自的购买比例；协商不成的，按照转让时各自的出资比例行使优先购买权。
2.股东向股东以外的人转让股权，应当经其他股东过半数同意。股东应就其股权转让事项书面通知其他股东征求同意，其他股东自接到书面通知之日起满三十日未答复的，视为同意转让。其他股东半数以上不同意转让的，不同意的股东应当购买该转让的股权；不购买的，视为同意转让。",,,
融资并购,融资并购中需要关注了解被并购企业哪些问题？,建议注意企业的经营前景、财务、债务、法律等方面的风险。例如对该公司的生产经营情况，真实财务、债务、诉讼争议情况做详细考察。,,,
企业合规,企业合规的意义在哪？,"合规管理对于企业来说具有促进企业稳健经营运行、防范违规风险、规范员工行为、防止决策失误、减少生产安全方面出现的问题等重要意义。具体体现为：
1、合规管理是企业稳健经营运行的内在要求，也是防范违规风险的基本前提，是每一个公司都必须要管理的一部分，也是保障自身利益的有力武器，内控制度的完善离不开合规化的管理及操作，这样方能让企业内控制度效用最大化。
2、合规管理是规范员工行为的有效手段，通过建构科学的企业合规文化以及合规体系，有利于让员工养成合规化的习惯，避免违规风险。同时在在制度层次向广大员工普及合规管理的相关条例，有利于让员工自觉自律的避免违规化操作。
3、合规管理可以防止决策失误，领导者的权限较大，再小的决策都有可能弓|发公司的多米诺骨牌效应，合规化管理通过约束高层领导人员的相关行为能够最大限度的减少决策失误而带来的经营风险。",,,
税务问题,公司偷税漏税有什么行政处罚？,纳税人伪造、变造、隐匿、擅自销毁帐簿、记帐凭证，或者在帐簿上多列支出或者不列、少列收入，或者经税务机关通知申报而拒不申报或者进行虚假的纳税申报，不缴或者少缴应纳税款的，是偷税。对纳税人偷税的，由税务机关追缴其不缴或者少缴的税款、滞纳金，并处不缴或者少缴的税款百分之五十以上五倍以下的罚款；构成犯罪的，依法追究刑事责任。扣缴义务人采取前款所列手段，不缴或者少缴已扣、已收税款，由税务机关追缴其不缴或者少缴的税款、滞纳金，并处不缴或者少缴的税款百分之五十以上五倍以下的罚款；构成犯罪的，依法追究刑事责任。,,,
行政案件,我公司员工工伤认定结果下来了，被认定工伤，我司不认可怎么办？,用人单位对工伤认定结论不服，可以申请行政复议或提起行政诉讼。申请行政复议的时效为两个月，向人民法院提起行政诉讼的时效为六个月。,,,
知识产权,知识产权被侵权怎么办？,"1.发警告函；对于侵权行为和后果不是很严重，涉嫌侵权企业不是太大，权利人可以以发警告函的形式提醒对方，要求其停止侵权。
2.提起诉讼。提起诉讼可以促进和谈，请求获得赔偿。",,,
刑事辩护,公司虚开增值税发票会被认定为为犯罪吗？,"虚开增值税专用发票，处三年以下有期徒刑或者拘役，并处二万元以上二十万元以下罚金;虚开的税款数额较大或者有其他严重情节的，处三年以上十年以下有期徒刑，并处五万元以上五十万元以下罚金;虚开的税款数额巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处五万元以上五十万元以下罚金或者没收财产。
单位犯本条规定之罪的，对单位判处罚金，并对其直接负责的主管人员和其他直接责任人员，处三年以下有期徒刑或者拘役;虚开的税款数额较大或者有其他严重情节的，处三年以上十年以下有期徒刑;虚开的税款数额巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑。
虚开增值税专用发票是指有为他人虚开、为自己虚开、让他人为自己虚开、介绍他人虚开行为之一的。",,,
争议解决,合同有争议了应该怎么解决？,双方可以先进行协商，解决争议。若协商不成的，若合同约定了争议解决条款，可以根据合同约定进行仲裁或诉讼；若合同没有约定争议解决条款，可以向合同履行地、被告人住所地人民法院起诉。,,,
执行,如何申请执行？,准备好申请执行的一套书面材料，然后递交到法院立案庭，就可以启动强制执行程序。书面材料包括：执行申请书、生效的法律文书、生效证明、主体材料复印件、财产线索等。,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
