database,problem,suqiu,anyou,positive_keywords,negative_keywords,panjue_keywords,
case_list_original_hunyinjiating,婚姻继承,请求认定夫妻共同债务,离婚纠纷,(共同|个人|夫妻|双方).*债务,(不|无需|无须).*(共同|个人|夫妻|双方).*债务,(共同|个人|夫妻|双方).*债务,
case_list_original_hunyinjiating,婚姻继承,确认婚姻无效,婚姻继承纠纷,(婚姻|婚约|结婚登记).*(无效|解除)|(无效|解除).*(婚姻|婚约|结婚登记),(不|无需|无须).*(婚姻|婚约|结婚登记).*(无效|解除)|(不|无需|无须).*(无效|解除).*(婚姻|婚约|结婚登记),(婚姻|婚约|结婚登记).*(无效|解除)|(无效|解除).*(婚姻|婚约|结婚登记),
case_list_original_hunyinjiating,婚姻继承,请求返还彩礼,婚约财产纠纷,(返|还|付|退|清偿|索要|追回).*(彩礼|款|个人财产|金|彩礼|礼金|礼物|财物|借款|元|枚|只|条)|(请求|彩礼|要求).*返还,(不|无需|无须).*(返|还|付|退|清偿|索要|追回).*(彩礼|款|个人财产|金|彩礼|礼金|礼物|财物|借款|元|枚|只|条)|(请求|彩礼|要求).*不.*返还,(返|还|付|退|清偿|索要|追回).*(彩礼|款|个人财产|金|彩礼|礼金|礼物|财物|借款|元|枚|只|条)|(请求|彩礼|要求).*返还,
case_list_original_hunyinjiating,婚姻继承,请求分割财产,离婚后财产纠纷|夫妻财产约定纠纷|同居关系析产纠纷|分家析产纠纷,(归|由|属|给|为).*(所有|享有|共有|居住|使用)|(分割|划分|折价|补偿|违约|安置|动迁).*(费|款|金)|(析产|析出.*财产|财产.*析出|对.*析|付.*元|赔偿 .*元)|(有|占|确定).*(产权|份额|所有权|使用权)|(返还|分割|划分|追要.*共同财产|付款义务)|(分得|征收|折算|经济).*补偿|(交付|给|还).*车|(产权|协助|要求|将).*(登记|给付)|配合.*更名|限.*支付|履行.*分家协议,(不|无需|无须).*((归|由|属|给|为).*(所有|享有|共有|居住|使用)|(不|无需|无须).*(分割|划分|折价|补偿|违约|安置|动迁).*(费|款|金)|(不|无需|无须).*(析产|析出|划分.*财产|财产.*析出|(不|无需|无须).*对.*析|付.*元|赔偿 .*元)|(不|无需|无须).*(有|占|确定).*(产权|份额|所有权|使用权)|(不|无需|无须).*(返还|分割|划分|追要.*共同财产|付款义务)|(不|无需|无须).*(分得|征收|折算|经济).*补偿|(不|无需|无须).*(交付|给|还).*车|(不|无需|无须).*(产权|协助|要求|将).*(登记|给付)|(不|无需|无须).*配合.*更名|(不|无需|无须).*履行.*分家协议)|(不|无需|无须).*限.*不.*支付,(归|由|属|给|为).*(所有|享有|共有|居住|使用)|(分割|划分|折价|补偿|违约|安置|动迁).*(费|款|金)|(析产|析出.*财产|财产.*析出|对.*析|付.*元|赔偿 .*元)|(有|占|确定).*(产权|份额|所有权|使用权)|(返还|分割|划分|追要.*共同财产|付款义务)|(分得|征收|折算|经济).*补偿|(交付|给|还).*车|(产权|协助|要求|将).*(登记|给付)|配合.*更名|限.*支付|履行.*分家协议,
case_list_original_hunyinjiating,婚姻继承,房产分割,离婚后财产纠纷|夫妻财产约定纠纷|同居关系析产纠纷|分家析产纠纷,(别墅|房|楼).*(之一|清分|分得|归|交付)|(产权|协助|要求|将).*过户|(交付|给|还).*房,(不|无需|无须).*(产权|协助|要求|将).*过户|不.*(交付|给|还).*房,(归|由|属|给|为).*(所有|享有|共有|居住|使用)|(分割|划分|折价|补偿|违约|安置|动迁).*(费|款|金)|(析产|析出.*财产|财产.*析出|对.*析|付.*元|赔偿 .*元)|(有|占|确定).*(产权|份额|所有权|使用权)|(返还|分割|划分|追要.*共同财产|付款义务)|(分得|征收|折算|经济).*补偿|(交付|给|还).*车|(产权|协助|要求|将).*(登记|给付)|配合.*更名|限.*支付|履行.*分家协议,
case_list_original_hunyinjiating,婚姻继承,确认抚养权,抚养纠纷|同居关系纠纷|离婚纠纷,(抚养|抚育).*(子|女|变更)|(原告|被告|子|女|变更|要求|归|由).*(抚养|抚育)|随.*生活|抚养权,(不|无需|无须).*(抚养|抚育).*(子|女)|(抚养|抚育).*不.*变更|不.*随.*生活,(抚养|抚育).*(子|女|变更)|(原告|被告|子|女|变更|要求|归|由).*(抚养|抚育)|随.*生活|抚养权,
case_list_original_hunyinjiating,婚姻继承,支付抚养费,抚养费纠纷,(抚养|住院|生活|医疗|交通|伙食|医药|治疗|抚育).*费|付.*元|经济帮助|(履行|承担).*抚养义务,(不|无须|无需).*付.*(抚养|住院|生活|医疗|交通|伙食|医药|生活治疗|抚育).*费|(不|无须|无需).*(履行|承担).*抚养义务,(抚养|住院|生活|医疗|交通|伙食|医药|治疗|抚育).*费|付.*元|经济帮助|(履行|承担).*抚养义务,
case_list_original_hunyinjiating,婚姻继承,增加抚养费,抚养费纠纷,(增加|提高|追加).*(抚养|住院|生活|医疗|交通|伙食|医药|治疗|抚育).*费,(不|无须|无需).*(增加|提高|追加).*(抚养|住院|生活|医疗|交通|伙食|医药|治疗|抚育).*费,(增加|提高|追加).*(抚养|住院|生活|医疗|交通|伙食|医药|治疗|抚育).*费|付.*元,
case_list_original_hunyinjiating,婚姻继承,减少抚养费,抚养费纠纷,(减少|降低).*(抚养|住院|生活|医疗|交通|伙食|医药|治疗|抚育).*费,(不|无须|无需).*(减少|降低).*(抚养|住院|生活|医疗|交通|伙食|医药|治疗|抚育).*费,(减少|降低).*(抚养|住院|生活|医疗|交通|伙食|医药|治疗|抚育).*费|付.*元,
case_list_original_hunyinjiating,婚姻继承,行使探望权,探望权纠纷,(探望.*权|探视|探望|接.*送回)|(接.*送|团聚)|(由|将|协助).*接走|(接到.*住处|接走带养|随.*生活.*予以协助|接回.*共同生活|每个星期.*生活.*天),(不|无须|无需).*(探望.*权|探视|探望|接.*送回)|(接.*送|团聚)|(由|将|协助).*接走|(接到.*住处|接走带养|随.*生活.*予以协助|接回.*共同生活|每个星期.*生活.*天),(探望.*权|探视|探望|接.*送回)|(接.*送|团聚)|(由|将|协助).*接走|(接到.*住处|接走带养|随.*生活.*予以协助|接回.*共同生活|每个星期.*生活.*天),
case_list_original_hunyinjiating,婚姻继承,支付赡养费,赡养纠纷,(赡养|医疗|生活|医药|护理|护工).*费|(给付|支付).*(小麦|大米|玉米|花生|煤|钱|现金|元)|(履行|尽).*赡养义务|和.*居住|(接|要求).*赡养|(照顾|照料).*(生活|起居)|(安置|提供).*房,(不|无须|无需).*((赡养|医疗|生活|医药|护理|护工).*费|(给付|支付).*(小麦|大米|玉米|花生|煤|钱|现金|元)|(履行|尽).*赡养义务|和.*居住|(接|要求).*赡养|(照顾|照料).*(生活|起居)|(安置|提供).*房),(不|无须|无需).*(赡养|医疗|生活|医药|护理|护工).*费|(给付|支付).*(小麦|大米|玉米|花生|煤|钱|现金|元)|(履行|尽).*赡养义务|和.*居住|(接|要求).*赡养|(照顾|照料).*(生活|起居)|(安置|提供).*房,
case_list_original_hunyinjiating,婚姻继承,确认遗嘱有效,遗嘱继承纠纷|遗赠纠纷|遗赠扶养协议纠纷|继承纠纷,(遗言|遗嘱|遗书|书写|所立|立具|部分|合法|其余).*(生效|有效|效力)|内容.*有效|(按|依).*遗嘱.*继承,(不|无须|无需).*(遗言|遗嘱|遗书|书写|所立|立具|部分|合法|其余).*(生效|有效|效力)|内容.*有效|(按|依).*遗嘱.*继承,(不|无须|无需).*(遗言|遗嘱|遗书|书写|所立|立具|部分|合法|其余).*(生效|有效|效力)|内容.*有效|(按|依).*遗嘱.*继承,(遗言|遗嘱|遗书|书写|所立|立具|部分|合法|其余).*(生效|有效|效力)|内容.*有效|(按|依).*遗嘱.*继承
case_list_original_hunyinjiating,婚姻继承,继承遗产,遗嘱继承纠纷|遗赠纠纷|遗赠扶养协议纠纷|继承纠纷,继.*承.*遗产,(不|无须|无需).*继.*承.*遗产,继.*承.*遗产,
case_list_original_hunyinjiating,婚姻继承,请求离婚,离婚纠纷,(离|解除|去除|删除|撤销).*(婚|姻),(不|无须|无需).*(离|解除|去除|删除|撤销).*(婚|姻),(离|解除|去除|删除|撤销).*(婚|姻),