reportID,情况,评估理由,法律建议,法律依据
report-2,盗窃人年满16周岁且精神状态正常,"根据您的描述，以下情形均符合，具备刑事责任能力，因此，触犯刑法需要承担刑事责任：
1.年龄：已满16周岁；
2.精神状态：正常。",,"根据《中华人民共和国刑法》第十七条的规定，已满十六周岁的人犯罪，应当负刑事责任。
第十八条的规定，精神病人在不能辨认或者不能控制自己行为的时候造成危害结果，经法定程序鉴定确认的，不负刑事责任，但是应当责令他的家属或者监护人严加看管和医疗;在必要的时候，由政府强制医疗。
间歇性的精神病人在精神正常的时候犯罪，应当负刑事责任。
尚未完全丧失辨认或者控制自己行为能力的精神病人犯罪的，应当负刑事责任，但是可以从轻或者减轻处罚。
醉酒的人犯罪，应当负刑事责任。"
report-1,盗窃人未满16周岁或者精神状态不正常,根据您的描述，盗窃人未年满16周岁或者精神状态不正常，不具备刑事责任能力，因此不承担刑事责任。,不满16周岁或者不能辨认、控制自己的行为的人不具备刑事责任能力，造成损害的，不负刑事责任，但是其监护人需要承担赔偿责任。建议监护人或家属看管好孩子或精神病人，以防造成损害。,"根据《中华人民共和国刑法》第十七条的规定，已满十六周岁的人犯罪，应当负刑事责任。
第十八条的规定，精神病人在不能辨认或者不能控制自己行为的时候造成危害结果，经法定程序鉴定确认的，不负刑事责任，但是应当责令他的家属或者监护人严加看管和医疗;在必要的时候，由政府强制医疗。
间歇性的精神病人在精神正常的时候犯罪，应当负刑事责任。
尚未完全丧失辨认或者控制自己行为能力的精神病人犯罪的，应当负刑事责任，但是可以从轻或者减轻处罚。
醉酒的人犯罪，应当负刑事责任。"
report0,盗窃数额不满3000元人民币,根据您的描述，盗窃数额不满3000元人民币且没有入室盗窃、多次盗窃、携带凶器盗窃、扒窃等情节，不满足盗窃入刑要求，因此不构成盗窃罪。,虽然盗窃金额不满足盗窃入刑要求，但是受害人可以要求盗窃人返还财产。,"根据《中华人民共和国刑法》第二百六十四条的规定，盗窃公私财物，数额较大的，或者多次盗窃、入户盗窃、携带凶器盗窃、扒窃的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金。
根据《浙江省高级人民法院、浙江省人民检察院关于印发确定盗窃罪数额标准的通知》的规定，盗窃公私财物价值人民币三千元以上不满八万元的，认定为刑法第二百六十四条规定的“数额较大”。"
report1,"盗窃数额不满3000元人民币，但有下列情况之一：
1.二年内盗窃三次以上；
2.入户盗窃；
3.携带凶器盗窃；
4.在公共场所或者公共交通工具上盗窃他人随身携带的财物。","根据您的描述，盗窃数额不满3000元人民币，但有下列情况之一，构成盗窃罪：
1.二年内盗窃三次以上；
2.入户盗窃；
3.携带凶器盗窃；
4.在公共场所或者公共交通工具上盗窃他人随身携带的财物。
预估刑事处罚：处三年以下有期徒刑、拘役或者管制，并处或者单处罚金。","建议受害人发现财物被盗后及时报警、保护现场，协助警方调查。
建议行为人积极投案自首，积极坦白，积极退赃退赔，自愿认罪认罚，积极赔偿被害人、获取被害人谅解、与被害人达成刑事和解，积极立功，争取从轻、减轻或者免于刑事处罚。","根据《中华人民共和国刑法》第二百六十四条的规定，盗窃公私财物，多次盗窃、入户盗窃、携带凶器盗窃、扒窃的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金。
根据《最高人民法院、最高人民检察院<关于办理盗窃刑事案件适用法律若干问题的解释>》第三条的规定，二年内盗窃三次以上的，应当认定为“多次盗窃”。
非法进入供他人家庭生活，与外界相对隔离的住所盗窃的，应当认定为“入户盗窃”。
携带枪支、爆炸物、管制刀具等国家禁止个人携带的器械盗窃，或者为了实施违法犯罪携带其他足以危害他人人身安全的器械盗窃的，应当认定为“携带凶器盗窃”。
在公共场所或者公共交通工具上盗窃他人随身携带的财物的，应当认定为“扒窃”。"
report2,"盗窃数额不满3000元人民币，但是已满 1500元人民币，有下列情况之一：
1.曾因盗窃受过刑事处罚；
2.一年内因盗窃罪受过行政处罚；
3.组织、控制未成年人盗窃；
4.自然灾害、事故灾害、社会安全事件等突发事件发生地盗窃；
5.盗窃残疾人、孤寡老人、丧失劳动能力人的财物；
6.在医院盗窃病人或者其亲友财物；
7.盗窃救灾、抢险、防汛、优抚、扶贫、移民、救济款物；
8.因盗窃造成严重后果。","根据您的描述，盗窃数额不满3000元人民币，但是已满 1500元人民币，有下列情况之一，构成盗窃罪：
1.曾因盗窃受过刑事处罚；
2.一年内因盗窃罪受过行政处罚；
3.组织、控制未成年人盗窃；
4.自然灾害、事故灾害、社会安全事件等突发事件发生地盗窃；
5.盗窃残疾人、孤寡老人、丧失劳动能力人的财物；
6.在医院盗窃病人或者其亲友财物；
7.盗窃救灾、抢险、防汛、优抚、扶贫、移民、救济款物；
8.因盗窃造成严重后果。
预估刑事处罚：处三年以下有期徒刑、拘役或者管制，并处或者单处罚金。","建议受害人发现财物被盗后及时报警、保护现场，协助警方调查。
建议行为人积极投案自首，积极坦白，积极退赃退赔，自愿认罪认罚，积极赔偿被害人、获取被害人谅解、与被害人达成刑事和解，积极立功，争取从轻、减轻或者免于刑事处罚。","根据《中华人民共和国刑法》第二百六十四条的规定，盗窃公私财物，数额较大的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金。
根据《浙江省高级人民法院、浙江省人民检察院关于印发确定盗窃罪数额标准的通知》的规定，盗窃公私财物价值人民币三千元以上不满八万元的，认定为刑法第二百六十四条规定的“数额较大”。
根据《最高人民法院、最高人民检察院<关于办理盗窃刑事案件适用法律若干问题的解释>》第二条的规定，盗窃公私财物，具有下列情形之一的，“数额较大”的标准可以按照前条规定标准的百分之五十确定：
　　(一)曾因盗窃受过刑事处罚的；
　　(二)一年内曾因盗窃受过行政处罚的；
　　(三)组织、控制未成年人盗窃的；
       (四)自然灾害、事故灾害、社会安全事件等突发事件期间，在事件发生地盗窃的；
　　(五)盗窃残疾人、孤寡老人、丧失劳动能力人的财物的；
　　(六)在医院盗窃病人或者其亲友财物的；
　　(七)盗窃救灾、抢险、防汛、优抚、扶贫、移民、救济款物的；"
report3,盗窃数额已满3000人民币，但是不满 40000元人民币,"根据您的描述，盗窃数额已满3000人民币，但是不满 40000元人民币，认定为数额较大。
预估刑事处罚：处二年以下有期徒刑、拘役或者管制，并处或者单处罚金。","建议受害人发现财物被盗后及时报警、保护现场，协助警方调查。
建议行为人积极投案自首，积极坦白，积极退赃退赔，自愿认罪认罚，积极赔偿被害人、获取被害人谅解、与被害人达成刑事和解，积极立功，争取从轻、减轻刑事处罚。","根据《中华人民共和国刑法》第二百六十四条的规定，盗窃公私财物，数额较大的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金。
根据《浙江省高级人民法院、浙江省人民检察院关于印发确定盗窃罪数额标准的通知》的规定，盗窃公私财物价值人民币三千元以上不满八万元的，认定为刑法第二百六十四条规定的“数额较大”。
根据《最高人民法院、最高人民检察院<关于办理盗窃刑事案件适用法律若干问题的解释>》第二条的规定，盗窃公私财物，具有下列情形之一的，“数额较大”的标准可以按照前条规定标准的百分之五十确定：
　　(一)曾因盗窃受过刑事处罚的；
　　(二)一年内曾因盗窃受过行政处罚的；
　　(三)组织、控制未成年人盗窃的；
       (四)自然灾害、事故灾害、社会安全事件等突发事件期间，在事件发生地盗窃的；
　　(五)盗窃残疾人、孤寡老人、丧失劳动能力人的财物的；
　　(六)在医院盗窃病人或者其亲友财物的；
　　(七)盗窃救灾、抢险、防汛、优抚、扶贫、移民、救济款物的；"
report4,盗窃数额已满40000元人民币，但是不满80000元人民币,"根据您的描述，盗窃数额已满40000元人民币，但是不满80000元人民币，认定为数额较大。
预估刑事处罚：处2-3年有期徒刑，并处或者单处罚金。","建议受害人发现财物被盗后及时报警、保护现场，协助警方调查。
建议行为人积极投案自首，积极坦白，积极退赃退赔，自愿认罪认罚，积极赔偿被害人、获取被害人谅解、与被害人达成刑事和解，积极立功，争取从轻、减轻刑事处罚。",根据《中华人民共和国刑法》第二百六十四条的规定，盗窃公私财物，数额较大的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金。
report5,"盗窃数额不满80000元人民币，但是已满 40000元人民币，有下列情况之一：
1.二年内盗窃三次以上；
2.携带凶器盗窃；
3.组织、控制未成年人盗窃；
4.自然灾害、事故灾害、社会安全事件等突发事件发生地盗窃；
5.盗窃残疾人、孤寡老人、丧失劳动能力人的财物；
6.在医院盗窃病人或者其亲友财物；
7.盗窃救灾、抢险、防汛、优抚、扶贫、移民、救济款物；
8.因盗窃造成严重后果。","根据您的描述，盗窃数额已满 40000元人民币，但是不满80000元人民币，有下列情况之一，认定为其他严重情节：
1.二年内盗窃三次以上；
2.携带凶器盗窃；
3.组织、控制未成年人盗窃；
4.自然灾害、事故灾害、社会安全事件等突发事件发生地盗窃；
5.盗窃残疾人、孤寡老人、丧失劳动能力人的财物；
6.在医院盗窃病人或者其亲友财物；
7.盗窃救灾、抢险、防汛、优抚、扶贫、移民、救济款物；
8.因盗窃造成严重后果。
预估刑事处罚：处3-10年有期徒刑，并处罚金。","建议受害人发现财物被盗后及时报警、保护现场，协助警方调查。
建议行为人积极投案自首，积极坦白，积极退赃退赔，自愿认罪认罚，积极赔偿被害人、获取被害人谅解、与被害人达成刑事和解，积极立功，争取从轻、减轻刑事处罚。",根据《浙江省高级人民法院、浙江省人民检察院关于印发确定盗窃罪数额标准的通知》的规定，盗窃公私财物价值人民币三千元以上不满八万元的，认定为刑法第二百六十四条规定的“数额较大”。
report6,盗窃数额已满80000元人民币，但是不满 100000元人民币,"根据您的描述，盗窃数额已满80000元人民币，但是不满 100000元人民币，认定为数额巨大。
预估刑事处罚：处3-4年有期徒刑，并处罚金。","建议受害人发现财物被盗后及时报警、保护现场，协助警方调查。
建议行为人积极投案自首，积极坦白，积极退赃退赔，自愿认罪认罚，积极赔偿被害人、获取被害人谅解、与被害人达成刑事和解，积极立功，争取从轻、减轻刑事处罚。","根据《中华人民共和国刑法》第二百六十四条的规定，盗窃公私财物，数额巨大的，处三年以上十年以下有期徒刑，并处罚金。
根据《浙江省高级人民法院、浙江省人民检察院关于印发确定盗窃罪数额标准的通知》的规定，盗窃公私财物价值人民币八万元以上不满四十万元的，认定为刑法第二百六十四条规定的“数额巨大”。"
report7,盗窃数额已满100000元人民币，但是不满 150000元人民币,"根据您的描述，盗窃数额已满100000元人民币，但是不满 150000元人民币，认定为数额巨大。
预估刑事处罚：处4-5年有期徒刑，并处罚金。","建议受害人发现财物被盗后及时报警、保护现场，协助警方调查。
建议行为人积极投案自首，积极坦白，积极退赃退赔，自愿认罪认罚，积极赔偿被害人、获取被害人谅解、与被害人达成刑事和解，积极立功，争取从轻、减轻刑事处罚。","根据《中华人民共和国刑法》第二百六十四条的规定，盗窃公私财物，数额巨大的，处三年以上十年以下有期徒刑，并处罚金。
根据《浙江省高级人民法院、浙江省人民检察院关于印发确定盗窃罪数额标准的通知》的规定，盗窃公私财物价值人民币八万元以上不满四十万元的，认定为刑法第二百六十四条规定的“数额巨大”。"
report8,盗窃数额已满150000元人民币，但是不满 200000元人民币,"根据您的描述，盗窃数额已满150000元人民币，但是不满 200000元人民币，认定为数额巨大。
预估刑事处罚：处5-6年有期徒刑，并处罚金。","建议受害人发现财物被盗后及时报警、保护现场，协助警方调查。
建议行为人积极投案自首，积极坦白，积极退赃退赔，自愿认罪认罚，积极赔偿被害人、获取被害人谅解、与被害人达成刑事和解，积极立功，争取从轻、减轻刑事处罚。","根据《中华人民共和国刑法》第二百六十四条的规定，盗窃公私财物，数额巨大的，处三年以上十年以下有期徒刑，并处罚金。
根据《浙江省高级人民法院、浙江省人民检察院关于印发确定盗窃罪数额标准的通知》的规定，盗窃公私财物价值人民币八万元以上不满四十万元的，认定为刑法第二百六十四条规定的“数额巨大”。"
report9,盗窃数额已满200000元人民币，但是不满 250000元人民币,"根据您的描述，盗窃数额已满200000元人民币，但是不满 250000元人民币，认定为数额巨大。
预估刑事处罚：处6-7年有期徒刑，并处罚金。","建议受害人发现财物被盗后及时报警、保护现场，协助警方调查。
建议行为人积极投案自首，积极坦白，积极退赃退赔，自愿认罪认罚，积极赔偿被害人、获取被害人谅解、与被害人达成刑事和解，积极立功，争取从轻、减轻刑事处罚。","根据《中华人民共和国刑法》第二百六十四条的规定，盗窃公私财物，数额巨大的，处三年以上十年以下有期徒刑，并处罚金。
根据《浙江省高级人民法院、浙江省人民检察院关于印发确定盗窃罪数额标准的通知》的规定，盗窃公私财物价值人民币八万元以上不满四十万元的，认定为刑法第二百六十四条规定的“数额巨大”。"
report10,盗窃数额已满250000元人民币，但是不满300000元人民币,"根据您的描述，盗窃数额已满250000元人民币，但是不满300000元人民币，认定为数额巨大。
预估刑事处罚：处7-8年有期徒刑，并处罚金。","建议受害人发现财物被盗后及时报警、保护现场，协助警方调查。
建议行为人积极投案自首，积极坦白，积极退赃退赔，自愿认罪认罚，积极赔偿被害人、获取被害人谅解、与被害人达成刑事和解，积极立功，争取从轻、减轻刑事处罚。","根据《中华人民共和国刑法》第二百六十四条的规定，盗窃公私财物，数额巨大的，处三年以上十年以下有期徒刑，并处罚金。
根据《浙江省高级人民法院、浙江省人民检察院关于印发确定盗窃罪数额标准的通知》的规定，盗窃公私财物价值人民币八万元以上不满四十万元的，认定为刑法第二百六十四条规定的“数额巨大”。"
report11,盗窃数额已满300000元人民币，但是不满350000元人民币,"根据您的描述，盗窃数额已满300000元人民币，但是不满350000元人民币，认定为数额巨大。
预估刑事处罚：处8-9年有期徒刑，并处罚金。","建议受害人发现财物被盗后及时报警、保护现场，协助警方调查。
建议行为人积极投案自首，积极坦白，积极退赃退赔，自愿认罪认罚，积极赔偿被害人、获取被害人谅解、与被害人达成刑事和解，积极立功，争取从轻、减轻刑事处罚。","根据《中华人民共和国刑法》第二百六十四条的规定，盗窃公私财物，数额巨大的，处三年以上十年以下有期徒刑，并处罚金。
根据《浙江省高级人民法院、浙江省人民检察院关于印发确定盗窃罪数额标准的通知》的规定，盗窃公私财物价值人民币八万元以上不满四十万元的，认定为刑法第二百六十四条规定的“数额巨大”。"
report12,盗窃数额已满350000元人民币，但是不满400000元人民币,"根据您的描述，盗窃数额已满350000元人民币，但是不满400000元人民币，认定为数额巨大。
预估刑事处罚：处9-10年有期徒刑，并处罚金。","建议受害人发现财物被盗后及时报警、保护现场，协助警方调查。
建议行为人积极投案自首，积极坦白，积极退赃退赔，自愿认罪认罚，积极赔偿被害人、获取被害人谅解、与被害人达成刑事和解，积极立功，争取从轻、减轻刑事处罚。","根据《中华人民共和国刑法》第二百六十四条的规定，盗窃公私财物，数额巨大的，处三年以上十年以下有期徒刑，并处罚金。
根据《浙江省高级人民法院、浙江省人民检察院关于印发确定盗窃罪数额标准的通知》的规定，盗窃公私财物价值人民币八万元以上不满四十万元的，认定为刑法第二百六十四条规定的“数额巨大”。"
report13,"盗窃数额不满400000元人民币，但是已满200000元人民币，有下列情况之一：
1.二年内盗窃三次以上；
2.携带凶器盗窃；
3.组织、控制未成年人盗窃；
4.自然灾害、事故灾害、社会安全事件等突发事件发生地盗窃；
5.盗窃残疾人、孤寡老人、丧失劳动能力人的财物；
6.在医院盗窃病人或者其亲友财物；
7.盗窃救灾、抢险、防汛、优抚、扶贫、移民、救济款物；
8.因盗窃造成严重后果。","根据您的描述，盗窃数额已满200000元人民币，但是不满400000元人民币，有下列情况之一，认定为其他特别严重情节：
1.二年内盗窃三次以上；
2.携带凶器盗窃；
3.组织、控制未成年人盗窃；
4.自然灾害、事故灾害、社会安全事件等突发事件发生地盗窃；
5.盗窃残疾人、孤寡老人、丧失劳动能力人的财物；
6.在医院盗窃病人或者其亲友财物；
7.盗窃救灾、抢险、防汛、优抚、扶贫、移民、救济款物；
8.因盗窃造成严重后果。
预估刑事处罚：处十年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。","建议受害人发现财物被盗后及时报警、保护现场，协助警方调查。
建议行为人积极投案自首，积极坦白，积极退赃退赔，自愿认罪认罚，积极赔偿被害人、获取被害人谅解、与被害人达成刑事和解，积极立功，争取从轻、减轻刑事处罚。","法律依据：
根据《中华人民共和国刑法》第二百六十四条的规定，盗窃公私财物，有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。
据《最高人民法院、最高人民检察院<关于办理盗窃刑事案件适用法律若干问题的解释>》第二条的规定，盗窃公私财物，具有下列情形之一的，“数额较大”的标准可以按照前条规定标准的百分之五十确定：
　　(三)组织、控制未成年人盗窃的；
       (四)自然灾害、事故灾害、社会安全事件等突发事件期间，在事件发生地盗窃的；
　　(五)盗窃残疾人、孤寡老人、丧失劳动能力人的财物的；
　　(六)在医院盗窃病人或者其亲友财物的；
　　(七)盗窃救灾、抢险、防汛、优抚、扶贫、移民、救济款物的；
　　(八)因盗窃造成严重后果的。
第六条的规定，窃公私财物，具有本解释第二条第三项至第八项规定情形之一，或者入户盗窃、携带凶器盗窃，数额达到“数额特别巨大”百分之五十的，可以认定为刑法第二百六十四条规定的“其他特别严重情节”。
根据《浙江省高级人民法院、浙江省人民检察院关于印发确定盗窃罪数额标准的通知》的规定，盗窃公私财物价值人民币四十万元以上的，认定为刑法第二百六十四条规定的“数额特别巨大”。"
report14,盗窃数额已满400000元人民币,"根据您的描述，盗窃数额已满400000元人民币，认定为数额特别巨大。
预估刑事处罚：处十年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。","建议受害人发现财物被盗后及时报警、保护现场，协助警方调查。
建议行为人积极投案自首，积极坦白，积极退赃退赔，自愿认罪认罚，积极赔偿被害人、获取被害人谅解、与被害人达成刑事和解，积极立功，争取从轻、减轻刑事处罚。","根据《中华人民共和国刑法》第二百六十四条的规定，盗窃公私财物，数额特别巨大的，处十年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。
根据《浙江省高级人民法院、浙江省人民检察院关于印发确定盗窃罪数额标准的通知》的规定，盗窃公私财物价值人民币四十万元以上的，认定为刑法第二百六十四条规定的“数额特别巨大”。"
